pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.571185185503401,0.955214427434087,0.918099815314515,0.683659483115769,1.23293436527642,0.570024221219971,0.954084905335689,0.172431540316084,0.741281531534181,0.833282991678793,0.641030640984447,1.08319400014142,0.172939506772675,0.744313112319729
centr_pathway_A4GALT.xlsx,0.922462081165295,0.993221361216073,0.985481322827059,0.733652189143246,1.32375184319303,0.922617533430452,0.993070388575914,0.918711266563868,0.993981536678404,0.986611572551259,0.75935474553714,1.28188096645596,0.919624633722749,0.993865318204554
centr_pathway_AAAS.xlsx,0.722200086082305,0.976678013898423,0.947724634159918,0.705419832573635,1.27325876126369,0.72154493543278,0.976529953333731,0.894293486255465,0.993981536678404,1.01787080146969,0.782658108504477,1.32377210077626,0.894891316408623,0.993865318204554
centr_pathway_AACS.xlsx,0.710472219072628,0.976678013898423,0.945609869436675,0.70328333289545,1.27143355082037,0.71121796083292,0.976529953333731,0.522044359707612,0.979664070893152,1.08966550205622,0.838132733956632,1.41668599526728,0.52134088394651,0.979633145878479
centr_pathway_AADAT.xlsx,0.810836179110269,0.98107768577018,0.964652431415668,0.718221195734112,1.29563749853556,0.811023130192325,0.981303212587294,0.376213510369776,0.911015896319052,1.12536195511932,0.866353932029369,1.46180386930713,0.376167626102242,0.91136087503724
centr_pathway_AANAT.xlsx,0.550907394752912,0.943670338826127,0.913484972831631,0.67895050166627,1.22903627516483,0.550028549172941,0.944382236457211,0.654756217695286,0.982822564851677,0.941570190258881,0.723392503330507,1.22555102396339,0.65439713090594,0.982696955586583
centr_pathway_AARS.xlsx,0.581120346853661,0.956984343960632,1.08675571285633,0.808388262204339,1.46097863445638,0.581595214906314,0.956416147409872,0.785257048915013,0.993981536678404,1.03719976598775,0.798334066278243,1.34753532387795,0.784476408385962,0.993865318204554
centr_pathway_AARS1.xlsx,0.0222333428221739,0.501761543449061,0.70732172886969,0.524919828831564,0.953105599468115,0.0228697756051217,0.517019462247329,0.0714842888329087,0.706917917421648,0.785689686151818,0.603923491279398,1.02216305846555,0.0723876781566055,0.712985819812513
centr_pathway_AARS2.xlsx,0.581120346853661,0.956984343960632,1.08675571285633,0.808388262204339,1.46097863445638,0.581595214906314,0.956416147409872,0.785257048915013,0.993981536678404,1.03719976598775,0.798334066278243,1.34753532387795,0.784476408385962,0.993865318204554
centr_pathway_AASDHPPT.xlsx,0.543772463119298,0.941799281127093,1.09569233596717,0.81574205871712,1.47171729380391,0.543799838827808,0.942065119676188,0.251996362328168,0.818084670400442,1.16547116978179,0.896659949110142,1.51486976633734,0.252372330559064,0.820051676551218
centr_pathway_AASS.xlsx,0.791047714070402,0.979142738045717,1.04083172952953,0.774464934959636,1.39881179933847,0.790740483925079,0.979012041901855,0.210508553211808,0.775601031729623,0.845969149952857,0.650909484512167,1.0994828308706,0.211010538348213,0.777626404272892
centr_pathway_AATF.xlsx,0.0726273284441682,0.660754569233563,1.31120348012042,0.974480726580993,1.76427765001774,0.0735739690564134,0.669038882668542,0.0211778652918993,0.559306712442371,1.36170371855473,1.04613527335678,1.77246391011749,0.0217173133088596,0.571079632301319
centr_pathway_AATK.xlsx,0.523292930586208,0.926823098330467,1.10131481259277,0.818001733599758,1.48275274564358,0.524771490561908,0.927381839247091,0.731976249545469,0.993981536678404,1.0471964324895,0.80456922623593,1.3629906942242,0.73164409988494,0.993865318204554
centr_pathway_ABAT.xlsx,0.960819570906723,0.999020757515698,0.992548018234491,0.738753747406291,1.33353173768662,0.96040634948084,0.998852017063443,0.815309017900067,0.993981536678404,1.03173578734472,0.793616127512283,1.34130179312839,0.815478326637758,0.993865318204554
centr_pathway_ABCA1.xlsx,0.237946699978375,0.794929270500207,0.837300034029988,0.623205834878774,1.12494349017607,0.238572175680803,0.796980865648863,0.826796263509666,0.993981536678404,0.97085095504904,0.74678956397494,1.26213812081507,0.825115594547069,0.993865318204554
centr_pathway_ABCB1.xlsx,0.223625677136995,0.782794661768207,0.831757167112862,0.617902389713668,1.11962665391891,0.224437859082637,0.785637679169306,0.430130084472821,0.948969134683948,0.899860983175668,0.691932438074307,1.17027291175345,0.431237796800339,0.950249658436146
centr_pathway_ABCB7.xlsx,0.288627853185639,0.831967330002399,0.852103498455749,0.633813743296297,1.14557372691917,0.289180153193297,0.833330822179661,0.49184451377598,0.971068293906049,0.912017201893044,0.701251165050347,1.18613047365005,0.492161689354427,0.971655795223883
centr_pathway_ABCC1.xlsx,0.228630842853295,0.78849690511976,0.833720637732121,0.619982236672479,1.12114518878974,0.228851857700122,0.790491032605083,0.593475947826799,0.982822564851677,0.931020804019319,0.715715346347074,1.21109564289885,0.594277665208562,0.982696955586583
centr_pathway_ABCC10.xlsx,0.0242185776612013,0.51003261184629,0.710653410650736,0.527250523589981,0.957852571925107,0.0249162644277198,0.524530519406812,0.0584672262094404,0.666157348677245,0.776023350160107,0.596292180033256,1.00992811939967,0.0592319908409344,0.673612366716963
centr_pathway_ABCC2.xlsx,0.223625677136995,0.782794661768207,0.831757167112862,0.617902389713668,1.11962665391891,0.224437859082637,0.785637679169306,0.430130084472821,0.948969134683948,0.899860983175668,0.691932438074307,1.17027291175345,0.431237796800339,0.950249658436146
centr_pathway_ABCC3.xlsx,0.0304580746035129,0.534080644794197,0.720062255745056,0.534013890333195,0.970929149099755,0.0312869033593757,0.546000938252489,0.0922943899954338,0.731211736649454,0.798019224445218,0.613162416227338,1.03860684498972,0.0933068053617256,0.738272843624594
centr_pathway_ABCC4.xlsx,0.329263295805504,0.860132184174046,0.862724069560589,0.64108035177579,1.16099770978395,0.329740016210827,0.861478806876754,0.807209735842425,0.993981536678404,0.968030678364655,0.744677374564765,1.25837500407854,0.80818206237623,0.993865318204554
centr_pathway_ABCC5.xlsx,0.335324695558306,0.861211404592489,1.1564354556045,0.860447460165063,1.55424128130107,0.335276670008955,0.861843332748414,0.200196801810021,0.765759293957263,1.18725528752648,0.912873820720315,1.54410728598542,0.200504848903847,0.768041055915113
centr_pathway_ABCC8.xlsx,0.982643797427481,0.99993137327344,0.996643729053949,0.741542906592867,1.33950269611023,0.982219418018515,0.999705970756086,0.76186755607283,0.993981536678404,1.04138452074729,0.801426644354686,1.35318900075413,0.76154342033698,0.993865318204554
centr_pathway_ABCC9.xlsx,0.000641924712039678,0.196169791937698,1.68483228526039,1.24438971986208,2.28116624892269,0.000740360296660328,0.222364905781607,0.000576093289020642,0.35861807241535,1.58796006746233,1.21753192188053,2.07108916861928,0.000644211317182331,0.401021544946001
centr_pathway_ABCD1.xlsx,0.2583594824841,0.816756896040542,0.843189924376018,0.627247831824965,1.13347422262216,0.258495635907284,0.818624864666903,0.281132411652653,0.838012416219201,0.865705714280857,0.665881554006754,1.12549503621019,0.281469511923852,0.839253785947848
centr_pathway_ABCD2.xlsx,0.2583594824841,0.816756896040542,0.843189924376018,0.627247831824965,1.13347422262216,0.258495635907284,0.818624864666903,0.281132411652653,0.838012416219201,0.865705714280857,0.665881554006754,1.12549503621019,0.281469511923852,0.839253785947848
centr_pathway_ABCG2.xlsx,0.132438362016363,0.702748917223288,0.796205044179321,0.591280352611366,1.07215210107492,0.133333273053061,0.706288975036729,0.294924859917084,0.852588507577638,0.869194949039549,0.668254461933563,1.13055714921807,0.295962696297328,0.854795760072351
centr_pathway_ABHD12.xlsx,0.931638767623754,0.993266083206056,1.01288206666172,0.754169016451903,1.36034504014969,0.932214582329928,0.993528738765097,0.824137580552325,0.993981536678404,1.03011496226945,0.792360973971982,1.33920885852325,0.824615838062428,0.993865318204554
