pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.257344226806928,0.820607746418329,1.18599462986356,0.882272819517491,1.59427246419588,0.258419593596055,0.821225559476538,0.200574326264582,0.786168111506574,1.18642166810629,0.913024528992946,1.54168516820099,0.200862448308638,0.787297430335543
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.533569753686156,0.907948509907565,1.09823872675508,0.817278642960972,1.4757859040276,0.534223602151916,0.908700759738631,0.548162764267985,0.929543595584949,1.08390486002845,0.833831236190058,1.40897785379378,0.547140290230106,0.929953856622823
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,0.765689835328884,0.967202846163802,0.955803138847771,0.711331013501314,1.2842960912593,0.764247825259999,0.967291832098324,0.79823710007415,0.971845777865777,1.03476655045697,0.796322998606082,1.3446074216353,0.798156294502658,0.972200049168493
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.336301721919021,0.839920498875439,1.15604017325125,0.85984898553257,1.55425999757739,0.336992756078733,0.841381811979429,0.258442207362178,0.799323378090462,1.16357149784279,0.894819652877732,1.51304078563539,0.258228735753161,0.801723543553423
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.341564408034138,0.842579384755613,1.15424815294816,0.8585545336317,1.55178121644602,0.342114513952115,0.844168295252974,0.329750767365269,0.852315158616768,1.13951911754191,0.87646854477744,1.48151787874284,0.329400685179238,0.85280265590777
Qiagen_1.5_ATM_Pathway,0.897758521986474,0.985600958498386,1.01945239586223,0.759034784744826,1.36921681103011,0.898140030718015,0.98596762566648,0.842200641205148,0.981345845374332,1.02693498439239,0.790282186367874,1.33445430045173,0.842363316835547,0.981298008140547
Qiagen_1.5_ATM_Pathway_Apoptosis,0.490585634894289,0.886692457326879,0.901179606382212,0.670398671791134,1.21140556676434,0.490594899234148,0.887473552706869,0.663019626545516,0.947897882991556,1.05980388093029,0.815362116331892,1.37752814796917,0.6641650992623,0.947840994223093
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.325543725661727,0.836303243145043,0.862506863118031,0.641859081702198,1.15900531772932,0.326522285509235,0.838650853508644,0.418263896715999,0.894295259704328,0.897531701124853,0.690619383678817,1.16643577281739,0.418780122101023,0.895236770573274
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.317191792426174,0.835490530225322,0.860057330742638,0.640075063993499,1.15564353897665,0.317207011660664,0.835918671834992,0.740590920328735,0.958042553850493,0.956773991600805,0.736611238239573,1.24274029974277,0.740505132807519,0.958189307519166
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.164383751826327,0.737177171622035,1.23361817737625,0.917133083732847,1.65931622634213,0.165117589083777,0.740198764772227,0.355383770974332,0.869084357172227,1.13126894282418,0.870482422009069,1.47018410555015,0.356262056305895,0.870350795599365
Qiagen_1.5_ATM_Pathway_Checkpoint_Activation,0.0185463512883703,0.404938008979033,0.700955238238522,0.520766148049744,0.94349113868878,0.0190963930417204,0.420949924339508,0.23791253577323,0.799323378090462,0.854287765872378,0.657454359583636,1.11005057047824,0.238553838603522,0.801723543553423
Qiagen_1.5_ATM_Pathway_DNA_repair,0.919646298390256,0.990083765533521,0.984888288696742,0.733227395682182,1.32292512107996,0.919436995483684,0.98986056300381,0.376806852813396,0.877931779398288,1.12582419409062,0.865769937446606,1.46399183106073,0.376486606761162,0.879164752732094
