pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.456787550819337,0.948502076498279,0.864901644232511,0.589908390373163,1.26808647987342,0.457228095977297,0.949788145559725,0.317061238553286,0.814459233835299,0.833011995490479,0.582074778453236,1.19213030750959,0.317782616391167,0.816593100943247
centr_pathway_A4GALT.xlsx,0.744198148505963,0.970850159984471,0.937904147264548,0.638297094397725,1.37814224312906,0.74405218458853,0.971272810297108,0.19452500365226,0.692011760039934,0.786635725130816,0.546946026851639,1.13136531517384,0.195558458932191,0.695783173604658
centr_pathway_AAAS.xlsx,0.625331711506091,0.970850159984471,1.09951773149203,0.75006067878959,1.61178858731309,0.626849943975286,0.971272810297108,0.714584197069342,0.93516887738402,1.06860493659289,0.747433680089295,1.52778305410892,0.715994500798137,0.936030612698999
centr_pathway_AACS.xlsx,0.0779009924218954,0.877708014165247,1.41447289982375,0.960175064719427,2.08371749887136,0.079369711056095,0.892485814834977,0.0857410204908944,0.503569450095104,1.37101991492205,0.955186802215964,1.96788272487864,0.0870222449699461,0.511446832747275
centr_pathway_AADAT.xlsx,0.227244542289203,0.888570719175548,0.789789754345158,0.53777906211802,1.15989613580697,0.228781793683611,0.893265201203485,0.182585977394617,0.675206559969203,0.783916616715467,0.547358504693802,1.12271072193607,0.184047050925232,0.680056237842726
centr_pathway_AANAT.xlsx,0.152781291352529,0.885179446848069,0.755102036514587,0.513127228142182,1.11118462298884,0.154127534431236,0.892485814834977,0.017079826802866,0.322402497016898,0.644435144787994,0.44783497074817,0.927343068238091,0.0179725253537645,0.338647406676925
centr_pathway_AARS.xlsx,0.534469006639422,0.970850159984471,1.12907312593577,0.768856374229359,1.65805495855859,0.535771929319815,0.971272810297108,0.54748774289376,0.923675114263664,1.11610041428841,0.779485849584782,1.59807921521385,0.548678660713702,0.924330715399966
centr_pathway_AARS1.xlsx,0.854745810149361,0.977476420115363,0.964288897692667,0.655447106371798,1.41865463921338,0.85353533764837,0.977431854546311,0.993209195250155,0.997588931384312,0.998167237617715,0.696284525563154,1.43093490904102,0.992034978646659,0.997737448848743
centr_pathway_AARS2.xlsx,0.534469006639422,0.970850159984471,1.12907312593577,0.768856374229359,1.65805495855859,0.535771929319815,0.971272810297108,0.54748774289376,0.923675114263664,1.11610041428841,0.779485849584782,1.59807921521385,0.548678660713702,0.924330715399966
centr_pathway_AASDHPPT.xlsx,0.471313704812108,0.95669147011178,1.14998352709049,0.785254013906758,1.68412015622822,0.472779229653693,0.958321341902362,0.509911540589052,0.921271040123069,1.1271447231706,0.788669804355255,1.61088356617119,0.511231462868534,0.922758733786209
centr_pathway_AASS.xlsx,0.360647001048907,0.922373235490624,0.835709375642624,0.568474349915862,1.2285693464276,0.361294661611583,0.924260117706823,0.376563838740205,0.868263572022357,0.850445987005232,0.593644154840066,1.2183365588905,0.377113681577994,0.869789324556634
centr_pathway_AATF.xlsx,0.803844730559044,0.970850159984471,1.04960029185912,0.71605081677486,1.53852317023072,0.804049123939911,0.971272810297108,0.671204763758741,0.926644429613752,0.925451000904102,0.647159258722865,1.32341389469508,0.671185824719761,0.927192709947573
centr_pathway_AATK.xlsx,0.950212026499306,0.995196314184931,0.987754432300262,0.670915465483365,1.45422019423251,0.950216957865364,0.995793970516584,0.663551880209051,0.926644429613752,0.923118909490275,0.643640794995497,1.32395045137634,0.663717079046723,0.927192709947573
centr_pathway_ABAT.xlsx,0.789734597954802,0.970850159984471,0.949144938800694,0.646728159358347,1.39297493361783,0.78973564109568,0.971272810297108,0.591851256362517,0.926644429613752,0.90666135057604,0.633581955239698,1.29744036715404,0.592039408029949,0.927192709947573
centr_pathway_ABCA1.xlsx,0.727476344617746,0.970850159984471,0.933827117046858,0.636389475780139,1.3702820642391,0.726399965253238,0.971272810297108,0.626961450457853,0.926644429613752,0.914493229846042,0.63829273206505,1.31021054356768,0.62610122154622,0.927192709947573
centr_pathway_ABCB1.xlsx,0.420761898048027,0.942561689136341,1.17317670473156,0.795024121249841,1.73119726023039,0.42109835575986,0.943947043813523,0.64161583527649,0.926644429613752,1.09003296030227,0.758283080498983,1.56692386405807,0.641511295867549,0.927192709947573
centr_pathway_ABCB7.xlsx,0.201909714872014,0.888570719175548,1.28196679069713,0.87445507663937,1.87938625591404,0.20314771711231,0.893265201203485,0.430592275646641,0.889282348178235,1.15471609960752,0.807163043709955,1.65192061391248,0.431057163676457,0.890262716639198
centr_pathway_ABCC1.xlsx,0.866427206468384,0.980489506486719,0.96709357307002,0.654491913805774,1.42900158022562,0.86660910000783,0.981121825494395,0.268425919591569,0.767295959480312,0.81372077442663,0.564423755115457,1.17312833262666,0.269395578912768,0.770431865773028
centr_pathway_ABCC10.xlsx,0.707545802959617,0.970850159984471,0.92901144029393,0.632149238778159,1.3652824416354,0.707762660004801,0.971272810297108,0.927608662777138,0.985777414815485,0.983529668562676,0.686940861177933,1.40817159614625,0.927735708766483,0.986475913391314
centr_pathway_ABCC2.xlsx,0.420761898048027,0.942561689136341,1.17317670473156,0.795024121249841,1.73119726023039,0.42109835575986,0.943947043813523,0.64161583527649,0.926644429613752,1.09003296030227,0.758283080498983,1.56692386405807,0.641511295867549,0.927192709947573
centr_pathway_ABCC3.xlsx,0.485841785453801,0.962742985706314,1.14615394914461,0.780060729664482,1.68405974712356,0.487169862159449,0.962983605831791,0.711046875325508,0.934157262424617,1.06988090597576,0.747312829286321,1.53168138979313,0.71215631379232,0.935433033942084
centr_pathway_ABCC4.xlsx,0.989636707458452,0.997745286456257,1.00230702018628,0.680633217438532,1.47600695495798,0.990689398016892,0.997579608397053,0.902846866291428,0.981412411408173,0.977555529795244,0.681444065164298,1.40233786261365,0.901869868910872,0.981492995449332
centr_pathway_ABCC5.xlsx,0.862651164958975,0.979799158285382,1.03389024712605,0.706301106164476,1.51341833358739,0.863883949726628,0.980135647700168,0.919834619933139,0.985777414815485,0.981588720881643,0.68696604871623,1.40256773790005,0.918713884285293,0.985536402690511
centr_pathway_ABCC8.xlsx,0.721513981513987,0.970850159984471,1.07184010761042,0.731958090697637,1.56954507489268,0.721458412376703,0.971272810297108,0.622204309618967,0.926644429613752,1.09382311202043,0.765619189776018,1.56272075774393,0.622230131977833,0.927192709947573
centr_pathway_ABCC9.xlsx,0.0315498994725465,0.782982555016354,1.53611219641053,1.03570806808852,2.27828743703435,0.0328082621411262,0.814211688352867,0.0862893117824349,0.503569450095104,1.37551960804871,0.954179323844966,1.98291258764887,0.0875234539594905,0.511446832747275
centr_pathway_ABCD1.xlsx,0.490074268763505,0.962742985706314,0.87259174272079,0.591780996614426,1.28665224774124,0.491539202184538,0.962983605831791,0.165991786596535,0.654331739248612,0.773846927271248,0.53763499506563,1.11383944933505,0.167662826397641,0.660222094459872
centr_pathway_ABCD2.xlsx,0.490074268763505,0.962742985706314,0.87259174272079,0.591780996614426,1.28665224774124,0.491539202184538,0.962983605831791,0.165991786596535,0.654331739248612,0.773846927271248,0.53763499506563,1.11383944933505,0.167662826397641,0.660222094459872
centr_pathway_ABCG2.xlsx,0.581582813716953,0.970850159984471,1.11548088890686,0.756237115341433,1.64538024949312,0.581580927210911,0.971272810297108,0.832647587776364,0.963316350843176,1.03988818835037,0.723864816339653,1.49388037636465,0.832407410393872,0.963589925960977
centr_pathway_ABHD12.xlsx,0.367915307641479,0.922373235490624,1.1945994473769,0.810809058624992,1.76005413912528,0.368501074501925,0.924260117706823,0.878388964755787,0.976680312093746,1.02862848441175,0.71682982504244,1.47604985448334,0.878250403697142,0.976559742276976
centr_pathway_ABHD5.xlsx,0.295979355174068,0.916962315949738,1.23016483409797,0.833593583416662,1.81539967336203,0.296815367193674,0.91986540770503,0.394682045742,0.87913493823656,1.17002805384479,0.814730087151081,1.68026892387241,0.395123147198958,0.879822152751188
centr_pathway_ABHD6.xlsx,0.367915307641479,0.922373235490624,1.1945994473769,0.810809058624992,1.76005413912528,0.368501074501925,0.924260117706823,0.878388964755787,0.976680312093746,1.02862848441175,0.71682982504244,1.47604985448334,0.878250403697142,0.976559742276976
centr_pathway_ABI1.xlsx,0.688747519332661,0.970850159984471,1.08227151619249,0.734781948197885,1.59409419030277,0.68903971276042,0.971272810297108,0.921176010909174,0.985777414815485,1.01837126848346,0.709624445210112,1.46144914746497,0.921316090021463,0.985536402690511
centr_pathway_ABI2.xlsx,0.982784249332166,0.997745286456257,1.00411035059079,0.68482108832601,1.4722642356533,0.983239535243926,0.997579608397053,0.428648188793767,0.888704404743114,0.865324997028822,0.604730529501994,1.23821655093149,0.42881995468567,0.890262716639198
centr_pathway_ABL1.xlsx,0.169359299575494,0.885179446848069,0.762554051437541,0.517444563317442,1.12377000858945,0.170635011553911,0.892485814834977,0.0879994416729872,0.504881589321978,0.729532891712947,0.507059693832697,1.04961653739068,0.0893081461101128,0.512720291757456
centr_pathway_ABL2.xlsx,0.951418760209641,0.995670795568229,1.0118893186788,0.689791602241504,1.48439034329932,0.951793769698494,0.995793970516584,0.66235764872922,0.926644429613752,0.923235581168341,0.645197572954453,1.32108980886606,0.66220302508267,0.927192709947573
centr_pathway_ABLIM1.xlsx,0.899476975156569,0.983648972988032,1.02537779116067,0.697709761424912,1.50692977615549,0.898483596907816,0.983596438348526,0.724910630998792,0.93952523674205,0.937635299972625,0.654109938338605,1.34405534028081,0.725962817762602,0.94021119644978
centr_pathway_ABLIM2.xlsx,0.899476975156569,0.983648972988032,1.02537779116067,0.697709761424912,1.50692977615549,0.898483596907816,0.983596438348526,0.724910630998792,0.93952523674205,0.937635299972625,0.654109938338605,1.34405534028081,0.725962817762602,0.94021119644978
centr_pathway_ABLIM3.xlsx,0.899476975156569,0.983648972988032,1.02537779116067,0.697709761424912,1.50692977615549,0.898483596907816,0.983596438348526,0.724910630998792,0.93952523674205,0.937635299972625,0.654109938338605,1.34405534028081,0.725962817762602,0.94021119644978
centr_pathway_ABP1.xlsx,0.179258307923515,0.885179446848069,0.767752460846453,0.521440769001133,1.1304137999507,0.180592871146713,0.892485814834977,0.0821784959080516,0.497819898072186,0.726569567450701,0.506032712505767,1.04321978263309,0.0835040133015509,0.506272045594214
centr_pathway_ABR.xlsx,0.597007091629252,0.970850159984471,0.902048996008983,0.61554822217556,1.3218986943459,0.597013444496266,0.971272810297108,0.346557740871733,0.839697153523141,0.841795953576733,0.587893995826551,1.20535408166888,0.347090673708648,0.840988430945054
centr_pathway_ACAA1.xlsx,0.288653636667023,0.916962315949738,1.23183692884019,0.8374352499032,1.81198751716008,0.289625458636701,0.91986540770503,0.28654634639978,0.784513765002803,1.21603337183259,0.848106951321386,1.74357391966498,0.287387855973452,0.786081026774694
centr_pathway_ACAA2.xlsx,0.255568556593187,0.898252598317207,1.25023260992812,0.849976237253272,1.83897091520916,0.256648851421129,0.902196197701567,0.224009689589696,0.726531256882487,1.24987898452968,0.871738737073879,1.79204778855267,0.225018626425941,0.730186420244039
centr_pathway_ACACA.xlsx,0.763851982119888,0.970850159984471,1.0604444079388,0.723129702072094,1.55510462245757,0.763838313646381,0.971272810297108,0.89162942313956,0.97755786364856,0.975455427724083,0.682014904938773,1.39515028863159,0.891735801903327,0.9775248448553
centr_pathway_ACACB.xlsx,0.677346826551121,0.970850159984471,1.08469921359416,0.740804409694582,1.58823620455616,0.676027490559198,0.971272810297108,0.484330826360001,0.916633208236436,1.13609210459337,0.795064506479658,1.62339691886675,0.48352160489613,0.916727509790379
centr_pathway_ACAD8.xlsx,0.708312880631968,0.970850159984471,1.07521139628192,0.734169902196169,1.57467575725492,0.709499985080566,0.971272810297108,0.583851520172764,0.926644429613752,1.10464624892989,0.772850865481732,1.57888590124601,0.584993577269677,0.927192709947573
centr_pathway_ACADL.xlsx,0.285101389651668,0.916962315949738,0.810680280088302,0.551289832580294,1.19211797077416,0.286075949050989,0.91986540770503,0.187915739486198,0.68508080720444,0.785049769586841,0.547077593738258,1.12653698082765,0.189062770042181,0.689216995551531
centr_pathway_ACADM.xlsx,0.65564596638607,0.970850159984471,1.09154294989573,0.74264466726327,1.60435543940249,0.655766545028258,0.971272810297108,0.898618889414705,0.979810699741329,1.02368530170799,0.714175919595318,1.46732978273307,0.898596052175034,0.979727028148653
centr_pathway_ACADS.xlsx,0.992699084227383,0.997745286456257,1.00154235043702,0.680899346791718,1.47317967691596,0.993754350423297,0.997579608397053,0.811690741220835,0.959311128955863,0.956857794556226,0.666880553788168,1.37292478210998,0.810792240976055,0.960368538166109
centr_pathway_ACADSB.xlsx,0.838209504026085,0.973774999186816,1.04053995412448,0.710480965802983,1.52393019411249,0.838247574483112,0.973373135611511,0.894988305906471,0.977707318678172,1.02434360268988,0.716749769805489,1.46394161613255,0.894969972077871,0.978402706193721
centr_pathway_ACADVL.xlsx,0.591781555080227,0.970850159984471,0.9010024750788,0.61538962163934,1.3191731409697,0.592013635415386,0.971272810297108,0.459095200531765,0.905230488010672,0.873913356272584,0.611463656236157,1.24901054458852,0.459505198628474,0.906601528740181
centr_pathway_ACAN.xlsx,0.75125407356745,0.970850159984471,0.939451790170425,0.636952542247052,1.38561291072153,0.752746951098266,0.971272810297108,0.402647863845139,0.883890527174023,0.856718725952159,0.595712054637637,1.23208346999718,0.404181605001178,0.886137997808484
centr_pathway_ACAP1.xlsx,0.939543544815633,0.99489933166103,1.01522432955046,0.687316648193935,1.49957147410804,0.939482380455279,0.994814482793821,0.838424877891007,0.96472910255426,0.962911038146487,0.669377679708778,1.38516370576882,0.838571847835789,0.965044353899618
centr_pathway_ACAP2.xlsx,0.593425018787648,0.970850159984471,1.1097732913407,0.757028828378403,1.62688224279558,0.593556166894905,0.971272810297108,0.698125545526884,0.929384586136209,1.07334386702678,0.750581160090861,1.53490004564534,0.69813655141581,0.929841310576818
centr_pathway_ACAT1.xlsx,0.738715850000183,0.970850159984471,1.06728657906829,0.727970051196376,1.56476305582524,0.738698013005982,0.971272810297108,0.791288968901399,0.955613750134239,1.04946757854783,0.734023579319041,1.5004725045002,0.791233257687576,0.955559632858688
centr_pathway_ACAT2.xlsx,0.0887053599309505,0.882658152132988,1.39627632501198,0.949026242561253,2.05430312498773,0.090189984949382,0.892485814834977,0.128889681245717,0.58906837658974,1.32057138875127,0.921280170352209,1.8929190586201,0.13011585006527,0.594846214485723
centr_pathway_ACD.xlsx,0.990774668896375,0.997745286456257,1.00198694348263,0.681776793661494,1.47259021463283,0.991938206646931,0.997579608397053,0.750160463155591,0.946409072832593,1.05990880135058,0.73960745410316,1.51892285691286,0.751298770444035,0.946887432970632
