pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.855661862728919,0.919418025688295,0.953948955677496,0.576245005022347,1.57922168887675,0.854554277931284,0.919021084962092,0.706498624661206,0.887762005549498,1.09286787824325,0.687016263496965,1.73847441866444,0.707693720197725,0.888331848235009
centr_pathway_A4GALT.xlsx,0.278368834273392,0.468439490727136,0.757587067718969,0.458120627478851,1.25281013503702,0.27937046456041,0.470051191381588,0.342784836117945,0.704078593557177,0.799560124225267,0.503317001802078,1.27016649539393,0.343506284931493,0.705711405016204
centr_pathway_AAAS.xlsx,0.0716699022168757,0.278545980556966,0.628756764604333,0.377933974399633,1.04604268421149,0.073995666763952,0.287170167062661,0.218870371154365,0.627310275523961,0.747043023677196,0.468434860563818,1.19135727548769,0.220696187065807,0.630937935619463
centr_pathway_AACS.xlsx,0.779383527164925,0.865080972945318,0.930556232818043,0.5630207009446,1.53801609955673,0.778907224058494,0.865012021674518,0.646027043532904,0.868265925727022,1.11457706629828,0.700832646991957,1.77258014741475,0.64677760383668,0.8691296592084
centr_pathway_AADAT.xlsx,0.738746892414491,0.84238457557654,0.91800332123578,0.555218805456962,1.51783421151654,0.738777042624482,0.84204166354154,0.602168607241577,0.850964717384522,0.884271201803549,0.556708150328479,1.40456998496918,0.602396356427472,0.850887885352666
centr_pathway_AANAT.xlsx,0.0037200790159558,0.123968352879162,0.476064042981683,0.285184795092432,0.794702161265681,0.00452704636795583,0.150411098225688,0.0508284601669442,0.511020992526343,0.631649718618799,0.39680064564606,1.0054957606775,0.052762705558442,0.530467578090931
centr_pathway_AARS.xlsx,0.905427619152878,0.949136165460566,0.969856713653767,0.585580996060192,1.60630562014106,0.905357359426307,0.949138419183263,0.900153250663375,0.971135872682758,1.0302821908587,0.647720029443453,1.63879661666888,0.899747655729713,0.971113156009634
centr_pathway_AARS1.xlsx,0.436284963157718,0.606673245492955,1.22388722305552,0.735183552341782,2.03745028025626,0.437200245496861,0.607719730900921,0.190119832213923,0.627310275523961,1.36738101812626,0.854750571804774,2.18745785075538,0.191804124457813,0.630937935619463
centr_pathway_AARS2.xlsx,0.905427619152878,0.949136165460566,0.969856713653767,0.585580996060192,1.60630562014106,0.905357359426307,0.949138419183263,0.900153250663375,0.971135872682758,1.0302821908587,0.647720029443453,1.63879661666888,0.899747655729713,0.971113156009634
centr_pathway_AASDHPPT.xlsx,0.342426790827174,0.525026298743635,1.27951652407906,0.767841568106534,2.13216189822665,0.344131019730592,0.52720646377923,0.0835007344575094,0.545402010092795,1.51557370436001,0.943271726192998,2.4351028336426,0.0856910957723993,0.558012518771067
centr_pathway_AASS.xlsx,0.982640770021191,0.993049922411586,0.994709239184488,0.600755230536259,1.64700433758315,0.983549848001617,0.993126173320051,0.627466790789347,0.861455050026911,0.892008788451167,0.56106928759076,1.41814869619897,0.629020317461225,0.862679238088376
centr_pathway_AATF.xlsx,0.443372812774314,0.613105314961889,0.821083766672373,0.496222621160063,1.35862115740876,0.442955885398575,0.612869135752427,0.426302094361794,0.757847845045836,0.828830294690273,0.521771739806405,1.31659038807132,0.426551772492958,0.758576007960871
centr_pathway_AATK.xlsx,0.15852599320396,0.375003456647442,0.695994113664364,0.419665274754848,1.15427183375707,0.16028487780735,0.378574211544622,0.550956618269838,0.828711041480586,0.868528233581028,0.546831035616211,1.3794778339114,0.550422346494612,0.829621055794106
centr_pathway_ABAT.xlsx,0.00598263504193771,0.132612117991913,0.49429612153035,0.296105015048092,0.825141903524544,0.00703650161921968,0.155510849395181,0.229854090950461,0.627310275523961,0.753348411810825,0.473890698683325,1.19760491428667,0.231100670897845,0.630937935619463
centr_pathway_ABCA1.xlsx,0.9727281074151,0.988474896257761,0.991227387342492,0.598697775256807,1.64111472269355,0.972675485029326,0.988421422006403,0.206569659661323,0.627310275523961,0.741534547475175,0.465528397950554,1.18118140057616,0.208054236183046,0.630937935619463
