pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.974326491952307,0.995398445455811,1.00940374303026,0.570886049339787,1.78476233150527,0.974321962970816,0.995396790122753,0.721504961085301,0.971927364454278,1.07891464679132,0.710680681954586,1.63794633035378,0.72140184615179,0.971864567655519
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.453890036087084,0.875617962189957,0.803112760831973,0.451929842717077,1.4271907841566,0.454810827941505,0.877114436527905,0.767250221068588,0.98170363626132,0.938890348996664,0.618048470676489,1.42628795193718,0.767555915712438,0.981933342100181
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,0.259944549208302,0.837696578073888,1.38631984984641,0.783386063391018,2.45330216593206,0.262004232580194,0.842665981573579,0.224238698513613,0.886799627069608,1.29513247807243,0.852583945367596,1.96739352748993,0.225385076915202,0.890199632062492
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.592407492036111,0.914764636193027,0.855603927432228,0.483120860266,1.51526903689149,0.592797936665124,0.915258842510163,0.82223285128431,0.98170363626132,0.953368721627749,0.627952783628287,1.44742079830663,0.822632458637308,0.981933342100181
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.614329473505667,0.925014284471412,0.863437619667257,0.487487723478741,1.52931958519191,0.61466252219479,0.925145441652711,0.853042739204214,0.984156783804147,0.961477635006335,0.633215742089295,1.4599119718142,0.853739768039395,0.984390154912259
Qiagen_1.5_ATM_Pathway,0.503249594897289,0.894453569981669,1.21333396229814,0.68816481364544,2.13928302475606,0.503931043960555,0.895541759206801,0.344324331187279,0.90586409867504,1.22225693853421,0.805490121712989,1.85466212871488,0.345522985252859,0.90753798854499
Qiagen_1.5_ATM_Pathway_Apoptosis,0.0476944318193356,0.810016844969166,0.549616604110873,0.301288058112861,1.00262324835062,0.0510068054305256,0.829992151650078,0.0812142522014439,0.859120803518577,0.685868852286201,0.44796846869654,1.05010980773974,0.0827430753253752,0.865517887796061
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.54669785717266,0.900829293552769,1.19034394698774,0.674698549455258,2.10007671318452,0.547485805434448,0.902127646686424,0.249504518963925,0.886799627069608,1.27780391398437,0.841328817447141,1.94071902534868,0.250273678853856,0.890199632062492
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.763093234581742,0.948753931842148,1.09120045184844,0.618042470003145,1.92659644588532,0.763480048528447,0.94886712114156,0.769829670577089,0.98170363626132,1.06433326250763,0.701191140122622,1.6155442201994,0.76965916381986,0.981933342100181
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.771120345734761,0.949602968545415,0.918447627612697,0.518071080111069,1.62824383960314,0.770895932405954,0.949639394665494,0.767243018579871,0.98170363626132,0.938573917557175,0.616913600022111,1.42794874142352,0.767160853029349,0.981933342100181
