pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.439654566803552,0.995520557477326,0.822447974716063,0.500571582322978,1.3512965877438,0.440365515089181,0.995531059392558,0.092385144218831,0.845906289390505,0.709777436514726,0.475231762741675,1.06008067827583,0.0939543641453062,0.859088152511331
centr_pathway_A4GALT.xlsx,0.73898688645013,0.995520557477326,0.919231869602902,0.56003875264439,1.50880135723428,0.739058481930508,0.995531059392558,0.936188773923553,0.999031756611999,0.983951486438192,0.660083695102468,1.46672389402625,0.936689822067175,0.999310459617877
centr_pathway_AAAS.xlsx,0.635416329931994,0.995520557477326,0.887914630887212,0.543021794701291,1.45186141594419,0.635613473260317,0.995531059392558,0.508356896570812,0.99726915424698,0.873887929697873,0.586089270006917,1.30300988732078,0.508366726580107,0.998335266434869
centr_pathway_AACS.xlsx,0.705122063154483,0.995520557477326,0.90788965749051,0.550289622008465,1.4978723879433,0.705223250029737,0.995531059392558,0.681331887999415,0.999031756611999,0.918943110912472,0.614079754762739,1.37515759890141,0.681065291656849,0.999310459617877
centr_pathway_AADAT.xlsx,0.984029743710398,0.999449149595311,1.00504588715995,0.613981307194358,1.64519216376954,0.984029760229888,0.999449149674757,0.682429221054372,0.999031756611999,0.919888784020908,0.616937210663124,1.37160696476375,0.682039472837403,0.999310459617877
centr_pathway_AANAT.xlsx,0.745653129907993,0.995520557477326,1.08527869928701,0.661812446815577,1.77970338997618,0.745718220267507,0.995531059392558,0.739019019350147,0.999031756611999,0.93384093491293,0.626176681868853,1.39267225524329,0.737120731982327,0.999310459617877
centr_pathway_AARS.xlsx,0.652172013070941,0.995520557477326,0.893084216055516,0.54607028489655,1.4606167722871,0.652341394002251,0.995531059392558,0.595227407774031,0.999031756611999,0.897599818101934,0.602358176250357,1.33755208316747,0.59553051592725,0.999310459617877
centr_pathway_AARS1.xlsx,0.868893465462662,0.995520557477326,1.04255966114102,0.635559834601037,1.71019404918937,0.868902575743875,0.995531059392558,0.597753042519052,0.999031756611999,0.898371456521866,0.602221355244998,1.3401571811828,0.599454007214698,0.999310459617877
centr_pathway_AARS2.xlsx,0.652172013070941,0.995520557477326,0.893084216055516,0.54607028489655,1.4606167722871,0.652341394002251,0.995531059392558,0.595227407774031,0.999031756611999,0.897599818101934,0.602358176250357,1.33755208316747,0.59553051592725,0.999310459617877
centr_pathway_AASDHPPT.xlsx,0.372513097546604,0.995520557477326,0.79922313466624,0.487886016420872,1.3092353490097,0.373476128133514,0.995531059392558,0.581248371969754,0.999031756611999,0.893611004486842,0.599295234823427,1.33246617182808,0.581063176021562,0.999310459617877
centr_pathway_AASS.xlsx,0.00319671994303782,0.995520557477326,0.477111933201764,0.288650388012578,0.788621135661197,0.0039000992609496,0.995531059392558,0.00375288613067299,0.726624827392165,0.554879238293762,0.370524337935556,0.830960176070852,0.00425396087736117,0.795100706612598
centr_pathway_AATF.xlsx,0.989203140250635,0.999449149595311,0.996480195525907,0.597966208957032,1.66058343297907,0.989203145389719,0.999449149674757,0.674634634054126,0.999031756611999,1.09048934714263,0.726902356123466,1.6359377655251,0.675499365074514,0.999310459617877
centr_pathway_AATK.xlsx,0.741981216241129,0.995520557477326,0.920736749434403,0.563077455127607,1.50557646028806,0.742051221165253,0.995531059392558,0.0878230829426431,0.845906289390505,0.706455724184039,0.473052433949065,1.05501981263695,0.0894668272288062,0.859088152511331
centr_pathway_ABAT.xlsx,0.482670115344349,0.995520557477326,0.838719643591971,0.51296886832137,1.37133203199836,0.483224975932654,0.995531059392558,0.644228182104519,0.999031756611999,0.91019808724374,0.610938515954799,1.35604571718221,0.643658155491068,0.999310459617877
centr_pathway_ABCA1.xlsx,0.520030413317813,0.995520557477326,1.17478490904886,0.718763126105538,1.92013130947162,0.520475620499705,0.995531059392558,0.456619054623957,0.984651050987444,1.16399736540556,0.780924033081666,1.73498292954878,0.455843400486763,0.986154745249459
centr_pathway_ABCB1.xlsx,0.920898457607319,0.996665084783788,1.02535108083294,0.625562161828247,1.68064007562839,0.920900444359241,0.996665230471914,0.68061556220329,0.999031756611999,1.08754232588053,0.728959488763132,1.62251583087074,0.680967464337648,0.999310459617877
centr_pathway_ABCB7.xlsx,0.855531400105293,0.995520557477326,0.955407421847392,0.58465208507561,1.56127612476236,0.855543621822155,0.995531059392558,0.706720124717574,0.999031756611999,1.0791579267157,0.724163706202785,1.60817481022338,0.708187150436328,0.999310459617877
centr_pathway_ABCC1.xlsx,0.449033337547048,0.995520557477326,0.821764962324927,0.49396772489569,1.3670886158554,0.449707473306785,0.995531059392558,0.366608843526393,0.951406522156241,0.829503318951821,0.552527870158649,1.24532316524507,0.367228262614322,0.95392283694123
centr_pathway_ABCC10.xlsx,0.731685446564236,0.995520557477326,1.08995619644159,0.666055369472001,1.78364226851466,0.73176333933779,0.995531059392558,0.570657598345518,0.999031756611999,1.12275119978032,0.752162268222384,1.67592859927326,0.571058720457361,0.999310459617877
centr_pathway_ABCC2.xlsx,0.920898457607319,0.996665084783788,1.02535108083294,0.625562161828247,1.68064007562839,0.920900444359241,0.996665230471914,0.68061556220329,0.999031756611999,1.08754232588053,0.728959488763132,1.62251583087074,0.680967464337648,0.999310459617877
centr_pathway_ABCC3.xlsx,0.191848076891718,0.995520557477326,0.719829303324772,0.438409392088177,1.18189581536339,0.193807281498904,0.995531059392558,0.249602456562931,0.895609750403352,0.790872837873743,0.53027110735575,1.1795472863032,0.250008013531687,0.899714988527854
centr_pathway_ABCC4.xlsx,0.86509691574592,0.995520557477326,1.04359296024396,0.637862930983086,1.70739858638945,0.865106779680896,0.995531059392558,0.493793877492681,0.995591648426594,1.1501367970011,0.770043622744081,1.71784378539756,0.494371533922226,0.996749084588131
centr_pathway_ABCC5.xlsx,0.959154568141432,0.996665084783788,0.987085565594069,0.600224104434934,1.62329021211407,0.959154834703297,0.996665230471914,0.880480901946961,0.999031756611999,1.03113135761196,0.689386307747116,1.54228748772988,0.881363647542475,0.999310459617877
centr_pathway_ABCC8.xlsx,0.797816892443722,0.995520557477326,0.937440298370199,0.571808276156059,1.53686882413812,0.797849983737807,0.995531059392558,0.675257120379195,0.999031756611999,0.918491790245729,0.615182915198685,1.37134362464592,0.67758832504004,0.999310459617877
centr_pathway_ABCC9.xlsx,0.922248425914134,0.996665084783788,1.02495971281797,0.624735521173894,1.68157944809333,0.922250297344428,0.996665230471914,0.853665275386991,0.999031756611999,0.963160028466665,0.645457719330516,1.43723936154659,0.854168662138793,0.999310459617877
centr_pathway_ABCD1.xlsx,0.482642933729622,0.995520557477326,1.19229734140981,0.729236830646333,1.94939817983815,0.483196880094715,0.995531059392558,0.795076712701573,0.999031756611999,1.05414795854001,0.707687657902334,1.57022368001707,0.7953511250196,0.999310459617877
centr_pathway_ABCD2.xlsx,0.482642933729622,0.995520557477326,1.19229734140981,0.729236830646333,1.94939817983815,0.483196880094715,0.995531059392558,0.795076712701573,0.999031756611999,1.05414795854001,0.707687657902334,1.57022368001707,0.7953511250196,0.999310459617877
centr_pathway_ABCG2.xlsx,0.567073840775491,0.995520557477326,1.15519048281528,0.704573437754829,1.8940042018038,0.567401586125544,0.995531059392558,0.381514492385537,0.954945818417813,1.1951244086109,0.800593855962135,1.7840785829427,0.383214124659388,0.956912840653297
centr_pathway_ABHD12.xlsx,0.527373790108585,0.995520557477326,0.853282156528841,0.521417691022491,1.39636696488517,0.527794054070058,0.995531059392558,0.757323439693871,0.999031756611999,0.939004982935459,0.629673099355605,1.40029859760559,0.757575160851476,0.999310459617877
centr_pathway_ABHD5.xlsx,0.525675010834951,0.995520557477326,0.852199564184061,0.519765410927108,1.39725361081665,0.52609534408453,0.995531059392558,0.309727175019717,0.926722863343884,0.813355385434275,0.545467194601162,1.21280801038576,0.310840185721807,0.929094461105659
centr_pathway_ABHD6.xlsx,0.527373790108585,0.995520557477326,0.853282156528841,0.521417691022491,1.39636696488517,0.527794054070058,0.995531059392558,0.757323439693871,0.999031756611999,0.939004982935459,0.629673099355605,1.40029859760559,0.757575160851476,0.999310459617877
centr_pathway_ABI1.xlsx,0.819493124920742,0.995520557477326,1.05991316122824,0.642980113469625,1.74720164093834,0.819516373496624,0.995531059392558,0.795774302015343,0.999031756611999,1.05431643066905,0.705797446094739,1.57493221621761,0.796162343827939,0.999310459617877
centr_pathway_ABI2.xlsx,0.991651029730843,0.999449149595311,0.997364627894881,0.608409808096192,1.63497725996328,0.99165103206526,0.999449149674757,0.811873105734762,0.999031756611999,1.04953236845722,0.702384507152081,1.56825525224877,0.813487173441217,0.999310459617877
centr_pathway_ABL1.xlsx,0.836639627209753,0.995520557477326,0.948276516247616,0.572357384377516,1.57109591980664,0.836657567818835,0.995531059392558,0.627001224487878,0.999031756611999,0.904890351854174,0.604956181278451,1.35353034520343,0.626632515961655,0.999310459617877
centr_pathway_ABL2.xlsx,0.507153941257382,0.995520557477326,0.843233581679321,0.509191421481112,1.39641565681427,0.507628329304398,0.995531059392558,0.446171542198928,0.980663644791372,0.85492751631554,0.57116830828026,1.27965968622128,0.44626360674704,0.981259550422619
centr_pathway_ABLIM1.xlsx,0.107377691146644,0.995520557477326,0.66577073902664,0.40439861234861,1.09607368425383,0.109749135771201,0.995531059392558,0.155401437087739,0.88001677437527,0.748767029564391,0.501672422181049,1.11756604464167,0.156782213907239,0.885332239288286
centr_pathway_ABLIM2.xlsx,0.107377691146644,0.995520557477326,0.66577073902664,0.40439861234861,1.09607368425383,0.109749135771201,0.995531059392558,0.155401437087739,0.88001677437527,0.748767029564391,0.501672422181049,1.11756604464167,0.156782213907239,0.885332239288286
centr_pathway_ABLIM3.xlsx,0.107377691146644,0.995520557477326,0.66577073902664,0.40439861234861,1.09607368425383,0.109749135771201,0.995531059392558,0.155401437087739,0.88001677437527,0.748767029564391,0.501672422181049,1.11756604464167,0.156782213907239,0.885332239288286
centr_pathway_ABP1.xlsx,0.428569800822741,0.995520557477326,1.22046221072845,0.744672502840841,2.00024574847843,0.429301997136247,0.995531059392558,0.56454143860075,0.999031756611999,1.12462727005977,0.75384935826945,1.67777087383289,0.564965437230122,0.999310459617877
centr_pathway_ABR.xlsx,0.365728918801358,0.995520557477326,0.794087367902547,0.481324868577799,1.31008137960042,0.366732746016486,0.995531059392558,0.0341884918815567,0.82776271115614,0.648364756117316,0.432927301468155,0.971010272508739,0.0354898502112137,0.85875631616041
