pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.938633145536992,0.994726283934167,0.980515501853549,0.594153097153105,1.61811939377533,0.938634065982947,0.994726428865957,0.804929683596125,0.971531637063619,1.05203193434955,0.704011810551276,1.57209179491547,0.804522295660306,0.97094046608541
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.981330960814563,0.9984648013198,1.00604211569743,0.607423018772935,1.66625351242295,0.981330986599689,0.998464825357558,0.822628627917054,0.971531637063619,1.04659928604865,0.699325740258565,1.56632310595709,0.824773901603534,0.97094046608541
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,0.327343617635646,0.991600624938844,0.780123257441392,0.474062377039382,1.28378105134973,0.328560006504212,0.991975401023889,0.56984447020321,0.933506580716064,0.890969910776492,0.597351789183957,1.32891103079061,0.571431221671664,0.933354265144144
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.845487156931016,0.994726283934167,1.0512326267131,0.635984306575907,1.73760582460887,0.845501619413244,0.994726428865957,0.781016443745367,0.971425149939478,1.05814428307237,0.707456066396815,1.58266976139082,0.783208098325516,0.97094046608541
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.764490441153264,0.994726283934167,1.0797839388839,0.653420135151339,1.7843548001495,0.764541720613153,0.994726428865957,0.658659343624679,0.955600283536715,1.0946190855712,0.731904191450669,1.63708714404525,0.659778705256502,0.956866733699882
Qiagen_1.5_ATM_Pathway,0.274872921831601,0.991600624938844,0.759713082002079,0.463180278246458,1.24608925308773,0.276365565772106,0.991975401023889,0.45607951154027,0.897476758733813,0.859051868064417,0.576032344478403,1.2811261712972,0.456243505291805,0.897704447249958
Qiagen_1.5_ATM_Pathway_Apoptosis,0.248584796184312,0.991600624938844,0.740217981807139,0.443253832246942,1.23613744705399,0.250260001540045,0.991975401023889,0.937782835723176,0.994666903172293,0.98379906909059,0.657423638640778,1.47220232351937,0.936699313722047,0.994004577433889
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.377483575658016,0.991600624938844,0.800381228916609,0.487662451945152,1.31363427519762,0.378410497182737,0.991975401023889,0.682715140634727,0.962297180502867,0.920432983606742,0.617345907344606,1.37232120150478,0.684116559657972,0.963022435837353
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.484533913846261,0.991600624938844,0.838649512291136,0.511735450191605,1.37440742907848,0.485077960885729,0.991975401023889,0.771212192746728,0.971425149939478,0.942769723163923,0.632267868711363,1.40575663401351,0.772487677654607,0.97094046608541
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.260237797993789,0.991600624938844,0.753641612817809,0.459854983647375,1.23511911530388,0.261794880819894,0.991975401023889,0.156353954248856,0.808947244623754,0.749297233182285,0.502210563779712,1.11795008736793,0.15742098657896,0.815822634391936
