pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.0149437992575082,0.126499051417899,1.39573479416405,1.06568649868032,1.82800065314944,0.0154301299850738,0.130615834215387,0.0326221530103331,0.284925278604701,1.30259192722975,1.02136011508213,1.6612610026853,0.0331485750004735,0.289523103038818
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.000208603211299033,0.0320871908359538,1.66978549510681,1.26962888138796,2.19606188906246,0.000244664062291698,0.0369774327272039,0.00136511389349177,0.149615995319734,1.48940687847449,1.16525262886615,1.90373554600404,0.00146640434401441,0.161013073997031
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,0.0634070029840193,0.265764165073102,1.28838822425663,0.985133513712999,1.68499415896103,0.0642306139749054,0.269216248865692,0.270502367097651,0.650842478797056,1.14566860698523,0.899397919275646,1.4593724634015,0.27077003876076,0.651299500721575
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.000729808680507756,0.035572287620878,1.59325659709785,1.21297520239274,2.09276049435173,0.000815052922918333,0.0397272569848258,0.00434229164995465,0.193869436329134,1.42532690169478,1.11584051229018,1.8206515665265,0.0045460940585399,0.201402728968966
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.00355594960143419,0.0617965920071102,1.49360543785686,1.13836599771416,1.95970119317966,0.00378960781652171,0.0658172116179806,0.00623253928656464,0.194040494672984,1.40488769967218,1.09987484049477,1.79448549600638,0.0064836162362621,0.201402728968966
Qiagen_1.5_ATM_Pathway,0.0300308172099755,0.180423716915598,1.3459911431301,1.02805380980455,1.76225421286954,0.0306794252266013,0.184320522931986,0.0695634046635377,0.383914709683289,1.25186618276959,0.9816908707597,1.5963975893443,0.0701424774929924,0.386807603985078
Qiagen_1.5_ATM_Pathway_Apoptosis,0.338495636533994,0.609747921231932,0.877838373508959,0.67226168953883,1.14628011977521,0.338515426775607,0.610014084505596,0.422264695129741,0.75776954197273,0.905940501088654,0.711504743850784,1.15351049814628,0.422907289417101,0.758764446471307
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.131055486146293,0.378446972629737,1.22875772798117,0.939926684569716,1.60634396156614,0.131859955303146,0.380592917789977,0.0743629476861055,0.392599848663169,1.24691656274222,0.978025777371871,1.58973408514743,0.0749661607666505,0.396209593990254
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.350777086052557,0.620606195685384,1.13578618558504,0.869127330960007,1.48425922579251,0.351031411487735,0.621200526425123,0.228824885862872,0.612552052780171,1.16044123970066,0.910514056642145,1.4789709845493,0.229199589157599,0.614031826068492
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.0613529441774664,0.26150718942779,1.292223648522,0.987116294860915,1.6916365037159,0.062097580179456,0.264681082231757,0.284680945395994,0.659743724683048,1.14149614556858,0.895627096671581,1.45486157708975,0.284934240525449,0.660837509491871
Qiagen_1.5_ATM_Pathway_Checkpoint_Activation,0.561644767355247,0.764545264390791,0.923969611213066,0.707523469840398,1.20663112792259,0.561461341353063,0.764529350651728,0.803291163551609,0.94220645457237,1.03127341349804,0.809653006853324,1.31355635610029,0.803003306746763,0.942463628702383
Qiagen_1.5_ATM_Pathway_DNA_repair,0.168087153312467,0.429870058625782,1.20683648288768,0.923372195258243,1.57732093722117,0.168719914448097,0.43177153787754,0.250903154299014,0.629995861036908,1.15239930747661,0.904464467159029,1.46829887971604,0.251137867468476,0.631125264676136
Qiagen_1.5_ATM_Pathway_G2-Mitosis_progression,0.644785781018778,0.818410900995924,0.939146844045941,0.719327782265947,1.22614031659264,0.644461145075533,0.818412441630412,0.229630035892972,0.612552052780171,0.862293860596465,0.676989452667536,1.09831947764112,0.230046074410356,0.614031826068492
Qiagen_1.5_ATM_Pathway_G2_M_Checkpoint_Arrest,0.644785781018778,0.818410900995924,0.939146844045941,0.719327782265947,1.22614031659264,0.644461145075533,0.818412441630412,0.229630035892972,0.612552052780171,0.862293860596465,0.676989452667536,1.09831947764112,0.230046074410356,0.614031826068492
Qiagen_1.5_ATM_Pathway_NF-kB_Pathway,0.804004764133564,0.90966020112753,0.966637544757794,0.739783410571878,1.26305636160868,0.803633234500083,0.909580387512828,0.716677737803925,0.921225063225632,1.04594685332316,0.82090110148522,1.33268772328029,0.716294434156212,0.920732360706113
Qiagen_1.5_ATM_Pathway_Repair_and_Recombination,0.380911623906572,0.640932587664621,1.12653520068806,0.862758684203049,1.47095773317144,0.381365511126866,0.641696311038635,0.785764354439571,0.937819415268354,1.03406205171955,0.812099206851361,1.31669175118669,0.785857899771168,0.937939404861165
Qiagen_1.5_ATM_Pathway_S-phase_arrest,0.549326376147175,0.756229428113475,1.0849087377618,0.830803795544174,1.41673277804532,0.549469453971471,0.755732617334819,0.141541546982664,0.507132886888339,1.19919716636768,0.941007010915798,1.52822861800438,0.14198650382362,0.50898185047442
Qiagen_1.5_ATM_Pathway_S-phase_progression,0.665704634186613,0.831305539054522,1.06065304994756,0.812210013110535,1.38509113924204,0.665416167572695,0.831191547498389,0.488591706230524,0.793187147742481,1.08952313999616,0.854762380501458,1.38876101670582,0.488630477331474,0.793524392012304
Qiagen_1.5_ATM_Pathway_Synaptic_Vesicle_Transport,0.513598789218018,0.735634821604149,1.0930682613232,0.836869086645126,1.42770027353009,0.513723081914868,0.735921023460384,0.633444302409849,0.872679701553131,1.06077169324342,0.832760170047309,1.35121326122331,0.632790394742837,0.872396246766813
