pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.00099854113436158,0.00598163774954371,0.605315451331406,0.447496830862231,0.818791934044663,0.00112547401639677,0.00674201355451794,0.00393928787631959,0.0197218074579808,0.677580051328338,0.519177134140732,0.884312300690929,0.00417145544338971,0.0208836121491167
centr_pathway_A4GALT.xlsx,0.0102547405522341,0.0384939255905471,0.676451414845617,0.500959781322181,0.913419667021832,0.0107429358973162,0.0402860096149357,0.045318889294337,0.128917981839489,0.76376762341058,0.586121555780174,0.99525597858924,0.046024373490074,0.130922341953866
centr_pathway_AAAS.xlsx,0.714326943054001,0.796584908208569,0.945949288033291,0.703164892388246,1.27256076806039,0.71347646548975,0.795710540043062,0.668630769072074,0.780981913658658,0.944138484421346,0.725430771146555,1.22878365961312,0.668976085295028,0.781186705823646
centr_pathway_AACS.xlsx,4.32884759965892e-10,1.70192060891853e-07,0.370441525040232,0.267745361507766,0.512527734192521,2.03372960733939e-09,7.9957685088554e-07,1.84502874783388e-12,2.2239608829536e-09,0.376228593682078,0.28361944712051,0.499077041934471,1.19593606994706e-11,1.38491853052779e-08
centr_pathway_AADAT.xlsx,0.0653087669195673,0.155064554930299,0.755221554418493,0.559736073611281,1.01897952114907,0.0662183863072437,0.15718187026219,0.0469424337570617,0.132374473448566,0.764614310713894,0.586320734697265,0.997124968555559,0.0475668163790204,0.134185204898965
centr_pathway_AANAT.xlsx,0.0176194598347472,0.0581092119053252,0.698249234805236,0.518228114407774,0.940805757833627,0.0182222548906473,0.0601148100125684,0.162558274744184,0.321331122608905,0.829007307627539,0.636965195184326,1.07894924447321,0.163081255498993,0.322364905683376
centr_pathway_AARS.xlsx,0.81791605497011,0.872708603146226,0.96563539705987,0.717848004089275,1.29895425597507,0.817210508813733,0.872329594289595,0.562634248318921,0.693827352496767,0.925197491842558,0.710916577906309,1.20406588552584,0.562987211543411,0.694093822450781
centr_pathway_AARS1.xlsx,0.789370414550709,0.84977619205848,1.04103110352447,0.773981217924384,1.40022229662329,0.790327870392469,0.850687604102016,0.577833412525836,0.70621982846335,0.927975136013808,0.71312297089242,1.2075587075567,0.577990794731303,0.706402725888622
centr_pathway_AARS2.xlsx,0.81791605497011,0.872708603146226,0.96563539705987,0.717848004089275,1.29895425597507,0.817210508813733,0.872329594289595,0.562634248318921,0.693827352496767,0.925197491842558,0.710916577906309,1.20406588552584,0.562987211543411,0.694093822450781
centr_pathway_AASDHPPT.xlsx,0.433120624566305,0.564250273022375,1.12589303661698,0.836741803066231,1.51496569820866,0.433629893899246,0.564815223614188,0.337544551520591,0.499793419198973,1.1375612440734,0.874143772467133,1.48035783674987,0.337529166248842,0.500004686000777
centr_pathway_AASS.xlsx,0.00858031763418819,0.0337697432704877,1.49215881877006,1.10491277347551,2.01512553197269,0.00903395440702644,0.0355177049581513,0.0452580929695694,0.128840683872974,1.30927519625581,1.00481764925041,1.70598271319128,0.0459823993706878,0.130852770780586
centr_pathway_AATF.xlsx,0.704104931291253,0.788910130005348,0.944013018293484,0.701781234915293,1.26985524030881,0.703327098582742,0.788217382869796,0.772383178496608,0.858458911377721,1.03975431638318,0.798736777219279,1.35349851073737,0.77201142970903,0.858103124326642
centr_pathway_AATK.xlsx,0.577992521706507,0.683926194964649,0.91919479797081,0.682762669110418,1.23750040071385,0.578638356370237,0.684632443066094,0.760604464938507,0.850219701876834,0.959789704789759,0.737171902431132,1.24963563367294,0.760505734235485,0.850064018365864
centr_pathway_ABAT.xlsx,3.7737931657103e-05,0.000608860366044405,0.531763637202937,0.391815877668363,0.721697567576981,5.05561456068967e-05,0.00081463357572479,0.000161620449906336,0.00223161693308749,0.60031306201634,0.459222099443526,0.784752678201091,0.000189094573184983,0.00261097312697195
centr_pathway_ABCA1.xlsx,0.0898065196192363,0.195015901615028,1.29288788094674,0.960229641712786,1.74079095258645,0.0905383170571148,0.196662177498298,0.0267630788590727,0.0883039748574529,1.34785098910376,1.03414061843426,1.75672655772727,0.0272225351640626,0.0899391144075839
centr_pathway_ABCB1.xlsx,5.77024160861223e-06,0.00015449356564994,0.497329745902691,0.365490172540796,0.676726475133961,8.800205524008e-06,0.000235618405965376,2.5142942133926e-05,0.00057968449919885,0.564479411842398,0.431090103751798,0.739142475368436,3.21743932061521e-05,0.000741798510030729
centr_pathway_ABCB7.xlsx,7.52301733264119e-07,3.3057023220488e-05,0.462640537409407,0.338358355441964,0.632572724781366,1.37171474765056e-06,6.02747597938215e-05,2.73932496244191e-07,2.08803647647358e-05,0.495119528755817,0.37664283394966,0.6508642290753,4.71624720037752e-07,3.57336038942096e-05
centr_pathway_ABCC1.xlsx,0.00191549298547621,0.0103461551710103,0.621455213653119,0.45887281094442,0.8416418958922,0.00211157543244628,0.0113970147979579,0.00612746741020859,0.0279610149995469,0.690011375370209,0.528400266378575,0.901051207644874,0.00642562737805223,0.0293215861417533
centr_pathway_ABCC10.xlsx,0.101822086758765,0.21473440593404,0.780451137231461,0.579538916440933,1.05101479870672,0.102612498098849,0.216346418514931,0.402218640282629,0.561602475310512,0.893492672723445,0.686571798873876,1.1627759216442,0.402087314844833,0.561524068403609
centr_pathway_ABCC2.xlsx,5.77024160861223e-06,0.00015449356564994,0.497329745902691,0.365490172540796,0.676726475133961,8.800205524008e-06,0.000235618405965376,2.5142942133926e-05,0.00057968449919885,0.564479411842398,0.431090103751798,0.739142475368436,3.21743932061521e-05,0.000741798510030729
centr_pathway_ABCC3.xlsx,1.34886241940359e-05,0.000292907042818163,0.511192535536749,0.375741031671509,0.695473175303748,1.93629601470762e-05,0.000421694788042739,0.00168757473648575,0.0101379622853893,0.65419969857377,0.500992038757301,0.854259574015584,0.00182676714113993,0.0109870777329431
centr_pathway_ABCC4.xlsx,1.39873167363846e-05,0.000297678792082031,0.512786286379974,0.377261910161214,0.696995292705272,1.99783537831998e-05,0.00042463028715744,0.00012723271353507,0.00184171149159343,0.594884418336482,0.454752263867358,0.778198371504439,0.000150796982547091,0.00218304934036195
centr_pathway_ABCC5.xlsx,0.00868151135286569,0.0339889359569741,0.668639561126106,0.494092427277772,0.904848643736791,0.00911375458601723,0.0357186499252617,0.00110987408281475,0.00715619009755757,0.642459416510912,0.491392225200402,0.839968727008674,0.00121623842075846,0.00786428720974512
centr_pathway_ABCC8.xlsx,0.000269215061231288,0.00204373628800582,1.75833770897329,1.29259469596696,2.39189554811268,0.000324800691835417,0.0024605787171656,0.000862622605089422,0.00578797366389552,1.57389634242228,1.20256683764581,2.05988525472697,0.000954967519632578,0.00640359728155777
centr_pathway_ABCC9.xlsx,0.3143556726894,0.446178391599813,0.858401869251012,0.637262855917896,1.15627917474068,0.315101531351997,0.447237020558507,0.97064843509905,0.985691110683782,0.995013721479263,0.763891838390443,1.29606346890431,0.970433270707491,0.985523202483823
centr_pathway_ABCD1.xlsx,0.532444432904882,0.649470919954192,0.909957570029242,0.676377718161519,1.22420173967912,0.533004819130236,0.650147945717563,0.207622258314974,0.371126649823607,0.844138146221276,0.648363796035086,1.09902683379831,0.208181593397999,0.372037440833266
centr_pathway_ABCD2.xlsx,0.532444432904882,0.649470919954192,0.909957570029242,0.676377718161519,1.22420173967912,0.533004819130236,0.650147945717563,0.207622258314974,0.371126649823607,0.844138146221276,0.648363796035086,1.09902683379831,0.208181593397999,0.372037440833266
