pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.755370045322898,0.963561174617836,0.910198799319966,0.503479618357722,1.64547247609711,0.755456374360763,0.963671297212244,0.232669225014657,0.425781261847009,1.33165582817364,0.830668345708313,2.13479573872135,0.234245361069226,0.42866025715557
centr_pathway_A4GALT.xlsx,0.322098739044974,0.771452707066667,0.740221919432753,0.407197191927015,1.34560969690311,0.323901524877576,0.775694193958749,0.843588084695529,0.901774898780138,0.954201578541227,0.598927697290317,1.5202179772448,0.843602136095459,0.901789919380807
centr_pathway_AAAS.xlsx,0.233857138106497,0.700318068224135,1.43893795800276,0.78782527109461,2.62817470186546,0.236401012240593,0.707567251980782,0.0222264033004939,0.113177391039325,1.73813496140774,1.0756675969062,2.80859361456747,0.0239529625532423,0.1219373981478
centr_pathway_AACS.xlsx,0.0681049980070749,0.404086048540786,0.571810231860094,0.311238521772641,1.05053493827716,0.0716862402535297,0.425334562902198,0.956971987715767,0.977116012607542,1.01291286040945,0.635557905511863,1.61431783616402,0.95697227955745,0.977116310592421
centr_pathway_AADAT.xlsx,0.0328256907566303,0.299034036526864,0.520358800537299,0.28266028229018,0.957945980605226,0.0359097704039534,0.327129249899429,0.415045559290713,0.611758154676721,0.82242190192696,0.51358468253854,1.31697421625965,0.415749868424495,0.612796274098456
centr_pathway_AANAT.xlsx,0.455932932597575,0.850982292944604,1.2536021120558,0.691152180338535,2.2737658941928,0.456872970271894,0.852748457739918,0.0185597301289939,0.106385273311491,1.76016654801336,1.09250744335825,2.83584912448906,0.0201493371355099,0.115584548997711
centr_pathway_AARS.xlsx,0.195346215718933,0.653194373957221,1.48567028732887,0.812899582017734,2.71523845192936,0.198207307829487,0.662761230745866,0.031417181742119,0.137421636079655,1.6806671812384,1.04193867639052,2.71094857892879,0.0333055253714722,0.145699437465852
centr_pathway_AARS1.xlsx,0.48484585857361,0.870330038676135,0.809038329801599,0.445944441730741,1.4677680846247,0.485629887846409,0.871775064590531,0.277613442286812,0.477497677615125,1.29672297182041,0.810149357453815,2.07553144389503,0.27894114040595,0.479781330608438
centr_pathway_AARS2.xlsx,0.195346215718933,0.653194373957221,1.48567028732887,0.812899582017734,2.71523845192936,0.198207307829487,0.662761230745866,0.031417181742119,0.137421636079655,1.6806671812384,1.04193867639052,2.71094857892879,0.0333055253714722,0.145699437465852
centr_pathway_AASDHPPT.xlsx,0.0732205154653942,0.418636925673741,1.72974676882635,0.942652049796338,3.17404909363072,0.0768472033903587,0.438682684950678,0.015201717803078,0.0962333026242673,1.78979380167612,1.11127641744442,2.88259680690872,0.0166717875214683,0.105666323501174
centr_pathway_AASS.xlsx,0.182234724139349,0.633581590585634,0.662805680492479,0.36067699358456,1.21801883099622,0.185269363567785,0.643792153296376,0.0787139594552416,0.229338817656953,0.655598656226289,0.408065686808177,1.05328532131093,0.0809228473985668,0.235761961804717
centr_pathway_AATF.xlsx,0.0477447318048822,0.356685987332806,1.84353537673827,0.996671513936261,3.40997273200171,0.051254958861172,0.382874542692955,0.0760037749353344,0.224672813125029,1.52729731900769,0.953337780996821,2.44681071824201,0.0781988893836117,0.231161734743007
centr_pathway_AATK.xlsx,0.293774601768791,0.748719302358535,1.37593783563059,0.75643908996401,2.50278568709329,0.295788737436387,0.753852565216584,0.0137771502787742,0.0916828405263453,1.80575838623935,1.12066525686167,2.90966756532209,0.0151820302478782,0.101179513296072
centr_pathway_ABAT.xlsx,0.0287604122291582,0.281942623821275,0.512108643803707,0.278073611456771,0.943114528863671,0.0317181885833647,0.312167152460783,0.564796865475019,0.737464181978394,0.87173100647224,0.546099399165816,1.39153229028616,0.565093331911447,0.737851282883851
centr_pathway_ABCA1.xlsx,0.61441957132489,0.928938318371971,1.16488139416638,0.642926074135496,2.11058272026005,0.614759824205217,0.929446124760363,0.119846355254813,0.293102296340359,1.45347300299191,0.904849741823724,2.33473434624451,0.12198979426169,0.298171973637392
centr_pathway_ABCB1.xlsx,0.0498331077236438,0.360012876881643,1.82030245002783,0.991543891920214,3.34175928728727,0.0532896858472878,0.384788824891212,0.00662074399400298,0.0587374793767248,1.91490815071381,1.18833846451588,3.08571449562901,0.00761187627768223,0.0677212716787505
centr_pathway_ABCB7.xlsx,0.238033142599877,0.700318068224135,0.698808492024834,0.384115286783281,1.27131964107833,0.240497088725462,0.707567251980782,0.267070799207664,0.466095659315009,1.30429829855257,0.814765175861543,2.08795626274559,0.268452020048899,0.468501181841739
centr_pathway_ABCC1.xlsx,0.204767598983244,0.666498459435656,1.48104138751053,0.804088746652947,2.72791231148251,0.207568861945063,0.675616295742753,0.0562347858534064,0.191552143331028,1.58768946347052,0.983751218894207,2.5623936052133,0.0583732861079368,0.198836501243177
centr_pathway_ABCC10.xlsx,0.0564048203483753,0.370852375971055,1.79218171791381,0.975919589719142,3.29116798541654,0.0599225376119853,0.394032883768953,0.0029666325785339,0.0392921017050501,2.05046018736874,1.26398908952597,3.32628423364082,0.00362514120227453,0.047989501550739
centr_pathway_ABCC2.xlsx,0.0498331077236438,0.360012876881643,1.82030245002783,0.991543891920214,3.34175928728727,0.0532896858472878,0.384788824891212,0.00662074399400298,0.0587374793767248,1.91490815071381,1.18833846451588,3.08571449562901,0.00761187627768223,0.0677212716787505
centr_pathway_ABCC3.xlsx,0.0561849484095626,0.370564459185195,1.78314035566436,0.976784985591269,3.2551580694846,0.0596362572528298,0.393571626206251,0.00131221530923642,0.0240231663937822,2.16153336132572,1.33545385797806,3.49860569439518,0.00170488714264213,0.0313682437328491
centr_pathway_ABCC4.xlsx,0.0196449098530452,0.239783458500405,2.0472143536704,1.10704424974473,3.78583476752669,0.0223616950958953,0.27249895981458,0.000803272534249379,0.0184629102487473,2.25160597203097,1.38263683072765,3.6667108387511,0.00110570001713085,0.0254678375036611
centr_pathway_ABCC5.xlsx,0.960304484597482,0.98691806605509,0.985095855968814,0.545335794700828,1.77947945995238,0.960304855789227,0.986918358076731,0.366639592555893,0.566218266775382,1.23988259801561,0.776712010090113,1.97925207398762,0.367559701054733,0.567639232350394
centr_pathway_ABCC8.xlsx,0.366130479536341,0.789955327317334,1.31545541026818,0.724517448420275,2.38837993505445,0.367585553604541,0.793126242734131,0.968218453184138,0.98112869562506,1.00957305258509,0.631816635850253,1.61318599522846,0.96821856890744,0.981128814563124
centr_pathway_ABCC9.xlsx,0.00456575267137227,0.123622743441536,2.43364555980837,1.28972655736937,4.59216000239251,0.00604506684740886,0.163147283881343,0.0405707525134198,0.159507116460656,1.62983294334376,1.01651227274273,2.61320546188906,0.0425647105062702,0.167434643223717
centr_pathway_ABCD1.xlsx,0.437574957737492,0.838468036679178,1.26505769580549,0.697786960603032,2.29349509817962,0.438608929770234,0.840461394400058,0.169864962112054,0.359052424158756,1.38700330865697,0.867610680969402,2.21732883241582,0.171722298848335,0.362978373626786
centr_pathway_ABCD2.xlsx,0.437574957737492,0.838468036679178,1.26505769580549,0.697786960603032,2.29349509817962,0.438608929770234,0.840461394400058,0.169864962112054,0.359052424158756,1.38700330865697,0.867610680969402,2.21732883241582,0.171722298848335,0.362978373626786
centr_pathway_ABCG2.xlsx,0.0416372367754919,0.33697742005734,1.86234455436154,1.01406694651271,3.42021525411845,0.0449625774675102,0.363617142437238,0.00727736707530171,0.062918902838546,1.90167344729224,1.17984053096124,3.06512770602145,0.00831529206616929,0.0718926293220887
centr_pathway_ABHD12.xlsx,0.0419158332964771,0.337165331291739,0.534874396290586,0.290087703185622,0.986221120942014,0.0450262191103674,0.363617142437238,0.255875585793811,0.452936167270088,0.761226939082944,0.474823365285465,1.22038318909856,0.25724843107581,0.455366298610498
centr_pathway_ABHD5.xlsx,0.890815212702076,0.971559349714344,1.0423572877429,0.57644692462355,1.884837387276,0.890822930512237,0.971563489385151,0.696452908763891,0.842101526135685,1.09729922364936,0.688107608372773,1.7498216435491,0.696555187867114,0.842225194782671
centr_pathway_ABHD6.xlsx,0.0419158332964771,0.337165331291739,0.534874396290586,0.290087703185622,0.986221120942014,0.0450262191103674,0.363617142437238,0.255875585793811,0.452936167270088,0.761226939082944,0.474823365285465,1.22038318909856,0.25724843107581,0.455366298610498
centr_pathway_ABI1.xlsx,0.59678158918365,0.926168908442556,1.17378732492351,0.647890150166677,2.12655908381482,0.597170575742076,0.926762250912304,0.141571407122351,0.326007909907651,1.42151390191168,0.887231042709619,2.27753727727661,0.143615089993284,0.330704291692304
centr_pathway_ABI2.xlsx,0.695448836955173,0.946839787390653,1.12601108214311,0.621350037289155,2.0405582699258,0.69561663879036,0.947046913483888,0.183972692118253,0.370125507708954,1.37468415172082,0.857970398533841,2.2025894135995,0.18581240288555,0.373826730286845
centr_pathway_ABL1.xlsx,0.777658299099043,0.971559349714344,1.08906705110051,0.602252362080286,1.96938545445614,0.777723398459678,0.971563489385151,0.106830840779935,0.274170679349035,1.47025487352567,0.91767432107961,2.35557358800546,0.108996217337371,0.279704435485655
centr_pathway_ABL2.xlsx,0.171464993908636,0.615198609268737,1.51702361030241,0.831224904297339,2.76863773248031,0.174550345244295,0.626268529766995,0.0463924473514872,0.171136583563264,1.61087824578435,1.00319226845947,2.58667137330125,0.0484780013506135,0.178821874401257
centr_pathway_ABLIM1.xlsx,0.733339296414751,0.955547764082102,0.902152908565613,0.498764398867148,1.63179222952154,0.733451367472034,0.955679522934197,0.351698411015485,0.549522740484411,1.24819342136145,0.782064165823812,1.99214704523489,0.352671310950465,0.551031628537578
centr_pathway_ABLIM2.xlsx,0.733339296414751,0.955547764082102,0.902152908565613,0.498764398867148,1.63179222952154,0.733451367472034,0.955679522934197,0.351698411015485,0.549522740484411,1.24819342136145,0.782064165823812,1.99214704523489,0.352671310950465,0.551031628537578
centr_pathway_ABLIM3.xlsx,0.733339296414751,0.955547764082102,0.902152908565613,0.498764398867148,1.63179222952154,0.733451367472034,0.955679522934197,0.351698411015485,0.549522740484411,1.24819342136145,0.782064165823812,1.99214704523489,0.352671310950465,0.551031628537578
centr_pathway_ABP1.xlsx,0.909541677931648,0.971559349714344,0.96628384118562,0.534734923546417,1.74610712826462,0.909546059780897,0.971563489385151,0.47717694983105,0.663164988881478,0.844409413004688,0.529425045065826,1.34679547825749,0.477698474389767,0.663889786733313
centr_pathway_ABR.xlsx,0.989521381363663,0.996457902235988,0.996035777927008,0.550598076241325,1.80183570143066,0.989521388169149,0.996457909089181,0.0458100081684581,0.169826680406145,1.62325544314186,1.00441578801626,2.62337397034925,0.0479338894799012,0.177700324771644
centr_pathway_ACAA1.xlsx,0.00317879380354091,0.110572396424391,0.390464903728399,0.204245180312289,0.746469712580311,0.00445028240510479,0.1553439699352,0.227358482883957,0.418936326379664,0.749700752459151,0.46887730552053,1.19871704520621,0.228958947013797,0.421885380906034
centr_pathway_ACAA2.xlsx,0.00349103460383922,0.115437657748558,0.393860930365599,0.206022717581928,0.752957898474311,0.00482971721353962,0.155596940903555,0.161329088999185,0.350940097502596,0.71520605837685,0.446454615686781,1.14573729997635,0.163284932210966,0.355194654518321
centr_pathway_ACACA.xlsx,0.117968421808956,0.514133086880338,0.618839955671725,0.337118167914538,1.13599006871936,0.121492352302028,0.529400772053202,0.667620049941769,0.822414540413096,0.902954404921115,0.566534446955437,1.43914754301,0.667754818473993,0.822580556398537
