pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.000175796660106473,0.00139072645770094,0.561782053004752,0.413918008331956,0.762467611279014,0.000215472195497026,0.00170459941045029,0.00077062340722665,0.00502375798822904,0.634312181337292,0.485413640485683,0.828884707463718,0.000853478252910276,0.00557654695295696
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.00020589206026841,0.00155270845681587,0.565916382794743,0.41731565663901,0.767431912080217,0.000249078308548714,0.00188178662108553,0.0380381796113461,0.0928524869026559,0.755639892455795,0.579429490331953,0.98543767032549,0.0386167712290459,0.0943261551004229
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,6.95816013489587e-05,0.000733790088023762,0.53939359314595,0.396035009202024,0.734645780213039,8.99283387832319e-05,0.000943921716938231,0.000332268213042316,0.00265638767146529,0.613875169785275,0.469016133152759,0.803474971203521,0.000380404643147835,0.00304122442220306
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.000711252822478243,0.00399517849354879,0.596238446907151,0.440501046799287,0.807036187889547,0.00081403612775853,0.0045725226358481,0.0443616562188761,0.104899002420535,0.762777128078104,0.585374534034242,0.993943045505027,0.0449687634232465,0.106368160058679
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.000235502950859837,0.00171491546385163,0.568980825395912,0.419632646714992,0.771482348197976,0.000283330999203749,0.00206319585444272,0.0327455330001093,0.0834376060087102,0.749999238944414,0.575442319528954,0.97750693566933,0.0333149797584984,0.0848885909192093
Qiagen_1.5_ATM_Pathway,0.471041417241277,0.594109834266752,0.896591600372755,0.666324745500648,1.20643350451435,0.471054823275529,0.594126742879236,0.691011292127669,0.792366792889827,0.947867423134829,0.727887243745683,1.23432943709365,0.691081175143471,0.792579624775548
Qiagen_1.5_ATM_Pathway_Apoptosis,0.823218399999029,0.877237762234152,0.966687917309044,0.718594456785479,1.30043520465156,0.822838272642403,0.877109821088109,0.979215046174926,0.989336199550536,1.00352200127752,0.771000671580358,1.30616800240113,0.979143135403308,0.989291392573988
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.83686018164512,0.886439611669498,1.03154510878287,0.766811604185416,1.38767502427697,0.837374826991594,0.886977471843182,0.980169616629485,0.989336199550536,0.996701891936484,0.765929210891676,1.29700584239797,0.980385674150102,0.989817960412842
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.709230215928944,0.792052369747697,0.944966614799517,0.702047217655625,1.27193995023235,0.708876598165617,0.791657457374906,0.964277984681043,0.981582001689823,0.993954420050348,0.763663074183356,1.29369275867386,0.964032696697933,0.981679066033662
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.0761165691541576,0.148883023937776,0.763772884979566,0.566595177004652,1.02956933540085,0.0769429630570058,0.150499439714092,0.0550772261198539,0.122927161989807,0.772380395807352,0.592790287701211,1.00637862698624,0.0557644014706792,0.12455286123015
Qiagen_1.5_ATM_Pathway_Checkpoint_Activation,0.560682506529022,0.668131914325987,1.09200350941542,0.811293422985831,1.46984017223619,0.561543627154102,0.668659491731113,0.655945524562982,0.76358527551207,0.941637349313431,0.723009657757861,1.22637490123123,0.655514130747321,0.763135794877871
Qiagen_1.5_ATM_Pathway_DNA_repair,0.182246521789245,0.298185700512777,0.81678637415351,0.606383904108136,1.10019407916848,0.182973013877178,0.299374362716205,0.200385133025803,0.32982781699563,0.841696501600583,0.646289270667819,1.09618561371846,0.20103634131217,0.330899685972428
Qiagen_1.5_ATM_Pathway_G2-Mitosis_progression,0.0347953441360229,0.0819575448005154,0.725960717056207,0.538531335624871,0.978622649872823,0.0355726159053952,0.0837883439330508,0.0850742532418337,0.173048208550878,0.793406364164884,0.609350119020801,1.0330574148552,0.0857129422605724,0.174427280479091
Qiagen_1.5_ATM_Pathway_G2_M_Checkpoint_Arrest,0.0347953441360229,0.0819575448005154,0.725960717056207,0.538531335624871,0.978622649872823,0.0355726159053952,0.0837883439330508,0.0850742532418337,0.173048208550878,0.793406364164884,0.609350119020801,1.0330574148552,0.0857129422605724,0.174427280479091
