pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.783394052809598,0.981109335926483,0.920256889673256,0.508763505251223,1.66457054063443,0.783454146457063,0.981184596184519,0.316900233904431,0.548962335129865,1.26844752774861,0.795351687996236,2.02295305955165,0.318034182062114,0.550922361972117
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.841219054495211,0.98610800543846,0.941195414486225,0.520161629446214,1.70302605594536,0.841242687691347,0.986135101846038,0.334089303338425,0.562774735055028,1.25875946871779,0.788325612420601,2.00992505523381,0.33513569270832,0.564537382031517
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,0.880929783259087,0.986719720166406,0.955772866411733,0.528786472796028,1.72754376135728,0.880939759067644,0.986730893959385,0.562449374788554,0.733676298656459,1.14780250982648,0.719655658160559,1.83066802383151,0.562756813715679,0.734067449663211
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.69765994521306,0.955465458629535,0.888947103941653,0.490678699210363,1.61047739565207,0.697824451960682,0.955684090103632,0.391581854285604,0.608485824303471,1.22620819427692,0.76844769460768,1.95665436471833,0.39238612759949,0.609729358070177
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.649997457236805,0.940465859919745,0.871538430208648,0.481019973327109,1.5791012378898,0.650252193027214,0.940833598176681,0.460414308039472,0.664139398040708,1.19205344124399,0.747239914138537,1.90165351167013,0.460981478746617,0.664957531633545
Qiagen_1.5_ATM_Pathway,0.72720521545975,0.968111965250821,1.11166095163878,0.613142373698529,2.01550263757509,0.727325500301261,0.96827209775789,0.257955584470618,0.505403594221485,1.31091580445542,0.818945535184483,2.09843044810528,0.259382635176504,0.508197544781104
Qiagen_1.5_ATM_Pathway_Apoptosis,0.0221477453462705,0.261447212642303,2.04128129151349,1.09343816586803,3.81075898130477,0.0250633710415681,0.294719826699922,0.00195143576908075,0.0475942657558072,2.12506648620523,1.30423600169739,3.46249265080509,0.00247515142084019,0.0606638434500998
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.814277498493543,0.98535968033345,0.93156292989771,0.51556480645783,1.68322096754792,0.814315422953476,0.985388906050876,0.358460442317101,0.58167767927611,1.2446802668411,0.779418013754927,1.98767405849404,0.359412437745052,0.583200109760962
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.865565708411546,0.986719720166406,0.950020257501712,0.524700807070016,1.7201012033953,0.865580008721288,0.986730893959385,0.621312542818299,0.776512201983829,1.12485144691642,0.70510677177526,1.79446692086692,0.621509546012749,0.776758415240086
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.862581185285148,0.986719720166406,0.94899028102332,0.524515460388027,1.71697999675831,0.862596415960292,0.986730893959385,0.693242005963591,0.824541433498569,1.09856834187528,0.688485666820694,1.75290853525482,0.693347018975108,0.824666565802121
