pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.00514477600305778,0.0308191473479083,1.64620757858139,1.15711401205419,2.34203316488046,0.00558412688881495,0.0334778714762823,0.121254919078666,0.256085452507106,1.23479370130448,0.945237063063729,1.61305088888417,0.121890843859625,0.257137702239876
centr_pathway_A4GALT.xlsx,0.012475672655385,0.0517452941342175,1.56135268791926,1.09785217040561,2.22053777529268,0.0131572117694519,0.0545721110037788,0.194390271787562,0.357541832250396,1.19331334961266,0.913550187798085,1.55875043252525,0.194763467904339,0.358112713770343
centr_pathway_AAAS.xlsx,0.00410161273320001,0.0263256553887807,1.66677663494148,1.17170083142297,2.37103557177896,0.00449480233989869,0.028845509861721,5.62145868256968e-05,0.000838169587999911,1.73307157463049,1.32223414030056,2.27156219253987,6.79609934442388e-05,0.00101941490166358
centr_pathway_AACS.xlsx,0.214530591120747,0.338617039338586,0.80192268709342,0.565344626474013,1.13750085516147,0.215851303161246,0.340333738996873,0.947428737410346,0.974833700889158,1.00917579626847,0.771886300350996,1.31941166375281,0.946751764262013,0.974539848289546
centr_pathway_AADAT.xlsx,0.541693130537463,0.633147814913918,0.897300639874829,0.63332772282154,1.27129826992692,0.542119756449563,0.633547337402728,0.553456232536921,0.699901482487016,1.08403992948616,0.829691070853806,1.41636159529964,0.554201243863609,0.700425422244669
centr_pathway_AANAT.xlsx,0.600159492511471,0.682580908809484,0.910976718663067,0.64281144286296,1.29101401532307,0.600194628697259,0.682643119493061,0.715349891079171,0.81595108968719,0.951294529556301,0.728255515806148,1.24264253729955,0.714143894009494,0.814824329960428
centr_pathway_AARS.xlsx,0.610964743078684,0.692445248186583,1.09525390333711,0.772036996881443,1.55378708225221,0.610095338549093,0.691774769119874,0.0208525682890172,0.0696017359780869,1.37067005295439,1.04840658272756,1.79199217652585,0.021130871523236,0.0706427730883449
centr_pathway_AARS1.xlsx,0.0587201155545463,0.140454455072834,1.3993214737503,0.986148871145801,1.9856034359433,0.0598574064231024,0.143154956235538,0.0347920358868797,0.10039137043016,1.33346792352883,1.02016296685915,1.74299279707707,0.0351997792066417,0.1012664703764
centr_pathway_AARS2.xlsx,0.610964743078684,0.692445248186583,1.09525390333711,0.772036996881443,1.55378708225221,0.610095338549093,0.691774769119874,0.0208525682890172,0.0696017359780869,1.37067005295439,1.04840658272756,1.79199217652585,0.021130871523236,0.0706427730883449
centr_pathway_AASDHPPT.xlsx,0.0164635184614155,0.0616144703941752,1.53112496259727,1.078451065775,2.17380623515243,0.0172036953265486,0.0643845711870331,0.00227620743146985,0.0124295154318252,1.51646404744572,1.15868338334653,1.98472096885824,0.00242370526142243,0.0132443879318402
