pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.609008855817368,0.897474088174342,0.92696917772929,0.693403582348562,1.23920885085387,0.608660552001557,0.897137790736312,0.396373832845083,0.88525002467983,1.11136789245798,0.870568119860392,1.41877305659271,0.396726781895048,0.885487236180695
centr_pathway_A4GALT.xlsx,0.892902364975447,0.977854291655233,0.980223438077801,0.733253118530451,1.31037695479936,0.892719001756527,0.977341197431401,0.732555159559377,0.955006464556465,1.04354033582246,0.81780761374373,1.33158020809242,0.731825037684215,0.954470339769415
centr_pathway_AAAS.xlsx,0.0699123258200479,0.440138807370975,1.30946799956893,0.977381646504008,1.75438780544772,0.0708147386246855,0.446075911611234,0.310597687764311,0.88525002467983,1.13439987566639,0.888809263321146,1.44785065932302,0.311039089148386,0.885487236180695
centr_pathway_AACS.xlsx,0.0784349573518524,0.455111666564225,0.770172950515502,0.575373158318835,1.03092465320925,0.0792160037468814,0.459854982479017,0.342035284645642,0.88525002467983,0.888360230052058,0.69572394596202,1.13433482190539,0.34250036290263,0.885487236180695
centr_pathway_AADAT.xlsx,0.593851268270835,0.887568822325558,1.08245245119693,0.809079022351778,1.44819390533251,0.593708744588151,0.887355806737393,0.120625040952524,0.88525002467983,1.21386409745287,0.95013481824242,1.55079681198372,0.120975086158072,0.885487236180695
centr_pathway_AANAT.xlsx,0.0112032564246795,0.255047226602511,0.685414442157289,0.510963734314247,0.919425246780548,0.0117181086724312,0.26558880799339,0.0269673615098947,0.88525002467983,0.759169221988295,0.594300351014136,0.969775479066818,0.0274088209456743,0.885487236180695
centr_pathway_AARS.xlsx,0.525756601020621,0.848434177926991,0.91030954380193,0.680835523165344,1.21712724636378,0.526025081144976,0.849036425123277,0.313792317149703,0.88525002467983,0.881900958701602,0.69049152042628,1.12637053164484,0.314070907757477,0.885487236180695
centr_pathway_AARS1.xlsx,0.630729785912759,0.907106244562195,0.93091558272972,0.695300616565106,1.2463728659557,0.63066306460179,0.906933998741584,0.308755563680797,0.88525002467983,0.880524360313662,0.689060366192124,1.12518900686505,0.309106169897565,0.885487236180695
centr_pathway_AARS2.xlsx,0.525756601020621,0.848434177926991,0.91030954380193,0.680835523165344,1.21712724636378,0.526025081144976,0.849036425123277,0.313792317149703,0.88525002467983,0.881900958701602,0.69049152042628,1.12637053164484,0.314070907757477,0.885487236180695
centr_pathway_AASDHPPT.xlsx,0.210243819402609,0.601901989237197,1.2051028533337,0.89967319463283,1.61422269305881,0.210925164416187,0.60369299415064,0.466781697171054,0.893035146276797,1.09571399546699,0.856776184739424,1.40128680190543,0.466424578156361,0.892385784673396
centr_pathway_AASS.xlsx,0.0744690144878301,0.447936547788186,0.765840991375182,0.570739455729673,1.02763602232595,0.0753623345746545,0.453126725767404,0.670905398068836,0.939292775800112,0.948516844494633,0.74279194328278,1.21121965905269,0.671761816723658,0.939787231751755
centr_pathway_AATF.xlsx,0.803026665703003,0.976764453015495,1.03760212035593,0.775959800666444,1.38746641158789,0.803371971777395,0.976643938453947,0.437245396460242,0.886140663868926,1.10169575663421,0.862932468218066,1.40652204533706,0.437095206274821,0.886531902211872
centr_pathway_AATK.xlsx,0.185051226895287,0.579249411670845,0.82150941877701,0.614053822211839,1.09905304832793,0.185517113606045,0.581694672951536,0.905738873368614,0.987326121460189,0.985393592665198,0.771657233280674,1.25833140750518,0.906106270196189,0.98721546391442
centr_pathway_ABAT.xlsx,0.330030467054499,0.701279907550181,0.865665069170029,0.64741198714835,1.15749480525055,0.330437650513018,0.702364234257924,0.504184581040359,0.901799315182859,0.920390690634574,0.721181994219364,1.17462586447925,0.505015664747694,0.902476056135056
centr_pathway_ABCA1.xlsx,0.10487043873523,0.50313563092625,0.785147794888674,0.585720930509497,1.0524757230074,0.105690244452766,0.507068802865874,0.0787134951663494,0.88525002467983,0.802801513786244,0.628080760117033,1.02612643383216,0.0794289910990328,0.885487236180695
centr_pathway_ABCB1.xlsx,0.540058342907821,0.857747374582482,1.09506482243936,0.819146331460622,1.46392276848255,0.539799659466913,0.858077306102254,0.494555028134841,0.897539119402595,1.08868127756534,0.852917993660169,1.38961416329733,0.495020646554268,0.898216588105012
centr_pathway_ABCB7.xlsx,0.33303690665877,0.703396028724599,0.866446884371566,0.648055996241053,1.15843415968942,0.333320519490926,0.704401972609436,0.624055452211945,0.927271250182865,0.940762236042085,0.737191669874313,1.20054745723564,0.623547636550926,0.928006837492112
centr_pathway_ABCC1.xlsx,0.771294669914872,0.966706574540955,1.0440607419292,0.780736889306635,1.39619742293185,0.771224033849307,0.966481186524963,0.472191307126403,0.896222818978587,1.09384035368067,0.856447412781968,1.39703465908519,0.472417901621518,0.896982973920931
centr_pathway_ABCC10.xlsx,0.19741600505966,0.591530806220716,1.21034214386905,0.905044170593967,1.61862608790034,0.198016427760962,0.593583024475129,0.265985455158052,0.88525002467983,1.14876765852636,0.89955788591734,1.46701746928758,0.266319918372288,0.885487236180695
centr_pathway_ABCC2.xlsx,0.540058342907821,0.857747374582482,1.09506482243936,0.819146331460622,1.46392276848255,0.539799659466913,0.858077306102254,0.494555028134841,0.897539119402595,1.08868127756534,0.852917993660169,1.38961416329733,0.495020646554268,0.898216588105012
centr_pathway_ABCC3.xlsx,0.990967033457016,0.99577633261754,0.99832519771763,0.746720101542699,1.3347078756001,0.990973347568089,0.995735232628529,0.86224203966186,0.984468495491429,0.978623313507973,0.766857394315779,1.24886790795807,0.862114786449032,0.984467806344201
centr_pathway_ABCC4.xlsx,0.887935836004664,0.977854291655233,1.02117930075756,0.764002700298897,1.36492601909356,0.887414826632813,0.977341197431401,0.9678728623895,0.996310443990751,0.995001929219362,0.779490203278161,1.27009786009711,0.967908862380493,0.995938626044488
centr_pathway_ABCC5.xlsx,0.446660750962218,0.788984678692409,1.11933027221678,0.837159680605923,1.49660845753352,0.44686401884232,0.789329444490926,0.163657866183496,0.88525002467983,1.18944382234791,0.93170567587093,1.51848018441995,0.163840619117029,0.885487236180695
centr_pathway_ABCC8.xlsx,0.0515084965515382,0.410638707833501,0.749108243022327,0.559461994388216,1.00304071660425,0.0524309228088154,0.41749320652726,0.0105268571275224,0.756245891590441,0.726385183861553,0.568068490776239,0.928823625849399,0.0108147002538611,0.780219551303165
centr_pathway_ABCC9.xlsx,0.299038279806777,0.672127379211254,0.85726069467083,0.640805285714275,1.14683183021557,0.299613654125945,0.673319493477981,0.619012820484079,0.92697025985588,0.940069276744081,0.736329523921612,1.20018309244411,0.61998594390271,0.928006837492112
centr_pathway_ABCD1.xlsx,0.533147335845186,0.852807408728809,0.911633981732365,0.681462210754989,1.21954893981349,0.533199170766061,0.853072993279606,0.978639886954009,0.996310443990751,1.0033425050561,0.785301753913204,1.28192274808483,0.978705133127135,0.995938626044488
centr_pathway_ABCD2.xlsx,0.533147335845186,0.852807408728809,0.911633981732365,0.681462210754989,1.21954893981349,0.533199170766061,0.853072993279606,0.978639886954009,0.996310443990751,1.0033425050561,0.785301753913204,1.28192274808483,0.978705133127135,0.995938626044488
centr_pathway_ABCG2.xlsx,0.837249264811313,0.977854291655233,1.0309597655234,0.771349164550618,1.37794670296596,0.836795852498679,0.977341197431401,0.811011412477211,0.974466020782494,1.0301585274083,0.807234444287926,1.31464483348225,0.81124945797394,0.974148769302655
centr_pathway_ABHD12.xlsx,0.12380710863768,0.537923345802067,0.795696917781104,0.594360431061533,1.06523508611696,0.124687155642839,0.54176260587972,0.609269338105526,0.92697025985588,0.938283985977074,0.735251646105614,1.19738166246086,0.608625640961377,0.92687590660553
centr_pathway_ABHD5.xlsx,0.85061060273672,0.977854291655233,0.972431769950766,0.727219085967537,1.30032828545948,0.850434369404293,0.977341197431401,0.867224854801858,0.984468495491429,1.02100373947726,0.799775940966427,1.30342585045367,0.867508082670879,0.984467806344201
centr_pathway_ABHD6.xlsx,0.12380710863768,0.537923345802067,0.795696917781104,0.594360431061533,1.06523508611696,0.124687155642839,0.54176260587972,0.609269338105526,0.92697025985588,0.938283985977074,0.735251646105614,1.19738166246086,0.608625640961377,0.92687590660553
centr_pathway_ABI1.xlsx,0.528080102765162,0.849797149430366,0.910470458320946,0.680477789936611,1.21819766601401,0.527801156591419,0.849608252618461,0.91163108756744,0.989381130028687,1.01404919248955,0.794019397985818,1.29505118816642,0.910988052482112,0.989187118555541
centr_pathway_ABI2.xlsx,0.77217661292523,0.966838635358946,0.957924596554794,0.716596403518009,1.28052489264496,0.771613009330505,0.966481186524963,0.62734278335953,0.927271250182865,1.06227473455946,0.832064644287287,1.35617781554693,0.627846268853249,0.928006837492112
centr_pathway_ABL1.xlsx,0.169549352417087,0.568886922499077,0.815300442239215,0.608998950756845,1.09148761305643,0.170112086172836,0.571385006606418,0.537585637762827,0.911456585835071,0.926080420940236,0.725160488654775,1.18266916009145,0.538272590846229,0.911725655053057
centr_pathway_ABL2.xlsx,0.0451358249716235,0.390236820067161,1.34705445288753,1.00529976766292,1.8049896731425,0.0460029493420771,0.397494239500455,0.0480431524518935,0.88525002467983,1.28014607616879,1.00161352738251,1.63613402927265,0.0485135051624335,0.885487236180695
