pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.586467349057849,0.875831886737731,0.886379326006875,0.572721327537031,1.37181605048854,0.588330244427387,0.87791189090543,0.154176663199806,0.494291705623413,0.758307263056342,0.516544006037821,1.11322539509228,0.157834943293199,0.503086558129014
centr_pathway_A4GALT.xlsx,0.644081567211005,0.907392208754176,1.10867224718435,0.71634920998007,1.71585887797796,0.64339642361141,0.907509683605973,0.963682097958615,0.981820140718883,0.991302054805702,0.675308085511461,1.45515770497217,0.964420931429131,0.982840976504176
centr_pathway_AAAS.xlsx,0.832249964933505,0.943361505931592,0.953612558095895,0.613466081420096,1.48235890866713,0.832860651817883,0.943861275465884,0.463283029217245,0.694924543825867,0.866837901719255,0.589241322829942,1.27521258055743,0.468096807551496,0.699131063092356
centr_pathway_AACS.xlsx,0.618432615790627,0.892008085904688,0.895090316327853,0.579060588128899,1.38359731400948,0.617939772680791,0.89244964467694,0.0438335016495319,0.321232080729433,0.674434553015419,0.458404352789184,0.992272354163913,0.0455713697167858,0.333059369075823
centr_pathway_AADAT.xlsx,0.816682308014991,0.942728618623046,0.949426732645556,0.612796550939013,1.47097942911191,0.816288600996065,0.943073453548141,0.316694738088511,0.60911859653628,0.823043517246043,0.56069073364837,1.2081537835893,0.320021261718876,0.613025342951698
centr_pathway_AANAT.xlsx,0.162013544754366,0.593334989164571,0.73418814733389,0.47527890470127,1.13413877694482,0.163728100801864,0.599558419510952,0.126927982720907,0.461372835813593,0.741901687817537,0.504637460502675,1.09071988797311,0.128933754064142,0.4684449902443
centr_pathway_AARS.xlsx,0.835026522062131,0.943361505931592,1.04796283317139,0.675513945536363,1.62576377137057,0.834372609239589,0.943861275465884,0.95090622391848,0.974920325647961,0.988369453763823,0.670624977893615,1.45666238111454,0.952857420046704,0.976156684605568
centr_pathway_AARS1.xlsx,0.291836938737004,0.713368959052813,0.791710375675337,0.512330580198715,1.2234392073744,0.29289316961733,0.715939783063304,0.20063000547142,0.536638946888524,0.777925254009813,0.529525829878072,1.14284831198051,0.200686389439539,0.539484950221966
centr_pathway_AARS2.xlsx,0.835026522062131,0.943361505931592,1.04796283317139,0.675513945536363,1.62576377137057,0.834372609239589,0.943861275465884,0.95090622391848,0.974920325647961,0.988369453763823,0.670624977893615,1.45666238111454,0.952857420046704,0.976156684605568
centr_pathway_AASDHPPT.xlsx,0.644691090863959,0.907392208754176,0.901298071314757,0.579923442249288,1.40076802242201,0.644140280462438,0.908044516900248,0.626823687885691,0.803041796715779,0.908654274631799,0.618069270719869,1.33585769414648,0.626122672362871,0.802528545393042
centr_pathway_AASS.xlsx,0.280200211371881,0.700500528429702,0.786162293820995,0.507388222143433,1.21810307226874,0.281533723400928,0.7040699410127,0.625352734256417,0.802505570330774,0.907931059435444,0.617907654679158,1.33408091394433,0.622773303084536,0.799882492097916
centr_pathway_AATF.xlsx,0.924572118582156,0.973851343176636,0.979617078138174,0.632111409841032,1.51816531839112,0.926593366861076,0.974984165847958,0.77921677011979,0.871108840585877,0.947198870383507,0.645068430744869,1.39083802166508,0.781959357868475,0.874384529002927
centr_pathway_AATK.xlsx,0.152214607562656,0.591724025912196,0.727935659373083,0.470236741404224,1.12685861722451,0.154368511415208,0.598796550611487,0.254229662256436,0.575381760167086,0.800347848979325,0.544939671869121,1.17546347317447,0.256113997915408,0.579378800717166
centr_pathway_ABAT.xlsx,0.324580526905692,0.745806378340671,0.801979293713758,0.516513458688556,1.24521593140796,0.325598072253692,0.748385626324398,0.120715123808956,0.453939148158027,0.737335407871394,0.500545109930264,1.08614287287038,0.123111822447574,0.459969640577256
centr_pathway_ABCA1.xlsx,0.205127157564846,0.633443516746342,0.754257030361962,0.487193089797365,1.16771702999126,0.205989294900373,0.637423377342912,0.454017402231794,0.694839171209077,0.862612786741762,0.587489112493818,1.26657805910951,0.450780023048369,0.692723055373651
centr_pathway_ABCB1.xlsx,0.450777279563289,0.80600517043284,0.845414206812458,0.5456944593066,1.30975341400483,0.452143320771295,0.807003822337545,0.416217290487876,0.665057360415922,0.852741597478094,0.580151067463166,1.25341186606652,0.41759164969159,0.667784996647418
centr_pathway_ABCB7.xlsx,0.768961816123006,0.927379743865675,0.936650266464177,0.60545776393332,1.44900895475846,0.768773904803934,0.927583667938793,0.20827175613489,0.5396427396211,0.78272661326333,0.53324867128354,1.148921664701,0.210927269126687,0.542153610646493
