pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.182317774059826,0.654271907944514,1.34582724230054,0.868609559888907,2.08523029190461,0.183699658829307,0.660623571401987,0.541868827940966,0.788896839833173,0.887884840014805,0.605057139227117,1.30291742385706,0.543384633087285,0.789854911587194
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.0305440734255328,0.490538718831511,1.63435171046569,1.04310456732856,2.56072650543842,0.0320198875939352,0.51645973462265,0.601353005849949,0.824167248833807,1.1072418218039,0.753689411058727,1.62664412417503,0.603699441459463,0.827383089383445
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,0.310130689997203,0.734699227235058,1.25325676679717,0.809537040768224,1.94018611184536,0.311351651725801,0.736913219141175,0.585840759869915,0.815106250610903,0.899166870137883,0.611964589401496,1.32115660669888,0.588249086960865,0.819114126725692
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.017502842045776,0.485980661051032,1.72000629384237,1.09416602578053,2.70381421205886,0.018778448065921,0.51645973462265,0.356783153519801,0.661471588918306,1.19757925396665,0.814613992075219,1.76058364266211,0.359106983894624,0.665371738399482
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.0207652900468071,0.490538718831511,1.69079350532402,1.0783908903006,2.65097072254479,0.0220868698700693,0.51645973462265,0.402933769818862,0.690693516332436,1.17748074463631,0.801455195994888,1.72992939707403,0.405203291248932,0.693501989383702
Qiagen_1.5_ATM_Pathway,0.611494461989668,0.891861131338213,1.12036558229363,0.722967576433493,1.736203778571,0.611081244268666,0.891926442459051,0.904877748519141,0.959151370054312,0.977403821926454,0.665173860878527,1.43619328314361,0.907337551052328,0.960411236175179
Qiagen_1.5_ATM_Pathway_Apoptosis,0.730182175098964,0.928708136847251,0.926223336667361,0.599301285904496,1.43148311135767,0.730067865018254,0.928953721299016,0.146309232566859,0.471659441827633,0.753203578799405,0.512549950622587,1.10684945033576,0.149000106687422,0.478115554929091
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.614149417077791,0.893277449593388,1.11874661916744,0.722713481071438,1.73179832766239,0.614740657365823,0.89400686552431,0.645530525022692,0.843128582965811,0.914146593375115,0.62263340414172,1.34214449244217,0.646863150197427,0.844474217143881
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.949695321485903,0.991854761803797,0.985925305185208,0.636678448655575,1.52674982081951,0.949345944024276,0.991853419274573,0.840071811592279,0.928182932685738,1.04152078624398,0.707818078437994,1.53254851948981,0.836451952558833,0.928716432775631
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.172887102047984,0.651452396993773,0.736739862591179,0.473958221016149,1.14521829364444,0.174626373323791,0.658006109955731,0.0953266131901719,0.429338913158622,0.721727902842239,0.490892727837061,1.06110996599231,0.097250716138277,0.437338785967073
