pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.670932119582897,0.843747968566371,0.917809201874295,0.616989837083101,1.36529595856483,0.672095312143722,0.844286613500188,0.727090664216578,0.913442728736071,0.945121726762749,0.688195603758861,1.29796684768128,0.727310766848273,0.913571788861039
centr_pathway_A4GALT.xlsx,0.850367127743635,0.930746582535998,1.0385874710166,0.698432246137461,1.54440740804565,0.851641395609081,0.931580205769488,0.330040449209202,0.664214970307762,1.1712305182329,0.851954136868767,1.61015818513645,0.330400385844024,0.664895173021245
centr_pathway_AAAS.xlsx,0.0213400732272886,0.186873639383989,1.59632775100397,1.06833559321381,2.38526386728312,0.0224560714387045,0.197313013702616,0.0240660712896335,0.270036315882877,1.44196197357427,1.04772032542119,1.98455091762998,0.0247018905616492,0.278198896886666
centr_pathway_AACS.xlsx,0.318232729335718,0.573791877919208,1.22428471920501,0.82266850324569,1.82196482272673,0.318464328318988,0.574804099025748,0.324768706140111,0.660438182225034,1.17325542930725,0.854059381320917,1.61174776895484,0.324015340676909,0.660624954927427
centr_pathway_AADAT.xlsx,0.267410108657337,0.523108684043283,1.25216598297322,0.840627931710892,1.8651767206024,0.268697590014224,0.525086126754016,0.315094782237564,0.660438182225034,1.17712249132916,0.85667628224398,1.61743401598966,0.314502877462856,0.660624954927427
centr_pathway_AANAT.xlsx,0.0232919980598809,0.190004933178926,0.631892800287817,0.423502962504811,0.942823418976776,0.0245546715325186,0.199496412282052,0.0759419947298283,0.389444757216322,0.75014630378576,0.545551093423146,1.03146979974427,0.0768479829385286,0.393958930866933
centr_pathway_AARS.xlsx,0.017807401266344,0.18468251819184,1.62246842132848,1.08319743258705,2.43021604281415,0.0188925665851254,0.195475150441027,0.0406674041463565,0.305837896239526,1.39603596274525,1.01310377936716,1.92370855678326,0.041395352117279,0.310686410314989
centr_pathway_AARS1.xlsx,0.00058620660993538,0.0943104827981773,2.02687141290712,1.34389774174892,3.0569347628442,0.000752321228361569,0.115684255661927,0.0010143715723754,0.0924067761663929,1.71770854832193,1.2393931902866,2.38061874157624,0.00115874552297058,0.105558890934027
centr_pathway_AARS2.xlsx,0.017807401266344,0.18468251819184,1.62246842132848,1.08319743258705,2.43021604281415,0.0188925665851254,0.195475150441027,0.0406674041463565,0.305837896239526,1.39603596274525,1.01310377936716,1.92370855678326,0.041395352117279,0.310686410314989
centr_pathway_AASDHPPT.xlsx,0.00296871932601758,0.142155983111226,1.83082592463839,1.22121369630692,2.74474776729461,0.00341935830247557,0.163163076594046,0.117962023216502,0.465246205611021,1.28864128226805,0.936816194910146,1.77259569527906,0.119050783918997,0.469045018921366
centr_pathway_AASS.xlsx,0.229173033651153,0.522213329651025,0.783076121878633,0.525171080793198,1.16763514801751,0.230281381206417,0.524594788526752,0.159610580988864,0.524524016108602,0.796533743393178,0.579589650690153,1.09468138985652,0.160822047065898,0.527366414215213
centr_pathway_AATF.xlsx,0.0298291004199443,0.210817978270368,1.56410491237934,1.0413635449181,2.34925083451197,0.031142232418403,0.220177835870139,0.14654371305711,0.505159915337616,1.26566605493231,0.920343689760514,1.74055690328552,0.147246785821776,0.507349395797355
centr_pathway_AATK.xlsx,0.300568138951104,0.552310063559863,0.810663687868228,0.544522896052761,1.20688334612185,0.301221932366792,0.553583865873784,0.173573145448593,0.544557495380509,0.802412113814431,0.583987076388458,1.10253330326758,0.174506631002657,0.547165015740267
centr_pathway_ABAT.xlsx,0.100305653789481,0.352769884090125,0.717412025797576,0.481680950573113,1.06850813623957,0.102269476807486,0.359338189911532,0.036955681553657,0.305837896239526,0.714098728016479,0.519594738936391,0.981412926540775,0.0379298582330399,0.310686410314989
centr_pathway_ABCA1.xlsx,0.329340726735003,0.584920406255461,0.819923208174806,0.550372517825721,1.22148916511952,0.328950496928124,0.584644352142062,0.416449080065354,0.739803716548917,0.876547295200412,0.63793227533758,1.20441493623531,0.416369251805695,0.740013873658945
centr_pathway_ABCB1.xlsx,0.259908916774599,0.523108684043283,0.795384050643182,0.533658135938693,1.18547014542327,0.260863520047263,0.525086126754016,0.496339904185901,0.802697355329872,0.895626461567575,0.652083826798562,1.23012828365677,0.496001313963168,0.80232347667927
centr_pathway_ABCB7.xlsx,0.0777309286315088,0.315253524646148,1.43036319781598,0.959020804960519,2.13336234947541,0.0792897658377693,0.320917975878342,0.0860057793989055,0.408951732724268,1.32151617550056,0.960421982268981,1.81837258450059,0.0869010342531719,0.413208609720684
centr_pathway_ABCC1.xlsx,0.116910611723926,0.380574928835118,0.728648316687641,0.489484802466275,1.08466772969588,0.118862523408654,0.38593301682558,0.122683998992178,0.474352729022552,0.779327870204208,0.567227401153036,1.07073799333817,0.123982362373678,0.478626070966518
centr_pathway_ABCC10.xlsx,0.157333189450473,0.434518209284197,0.74976750503846,0.50231415412815,1.11912297710843,0.158763627523911,0.438272098153589,0.116579370260847,0.461743316992855,0.775776995668675,0.564533989492077,1.06606503454326,0.117466665129475,0.465504503192139
centr_pathway_ABCC2.xlsx,0.259908916774599,0.523108684043283,0.795384050643182,0.533658135938693,1.18547014542327,0.260863520047263,0.525086126754016,0.496339904185901,0.802697355329872,0.895626461567575,0.652083826798562,1.23012828365677,0.496001313963168,0.80232347667927
centr_pathway_ABCC3.xlsx,0.59275425157451,0.79689580972531,0.897501162244744,0.603888790116084,1.33386866822917,0.592698432139416,0.796491256591244,0.284693156461947,0.654741849149936,0.841392183463134,0.612205436268799,1.15637785039535,0.287130231573893,0.657933383391712
centr_pathway_ABCC4.xlsx,0.158562906392545,0.436106373620145,0.750897088859584,0.5035520268785,1.11973819577902,0.159953238920569,0.439768382310139,0.135532105478298,0.487850178206466,0.785285126894095,0.571427073003798,1.07918010828475,0.136179685302063,0.490765780612028
centr_pathway_ABCC5.xlsx,0.346904113210043,0.602504935056736,1.21063102760837,0.812248223984001,1.8044083590843,0.347879427926287,0.603637474241431,0.107473161889275,0.450286453009198,1.2992783016372,0.943502037501068,1.78921087396521,0.108775292097485,0.45429809491447
centr_pathway_ABCC8.xlsx,0.844914548819877,0.92775417899228,1.04051222802833,0.699616979317418,1.54751203684734,0.844537311552442,0.927339955504445,0.34456564104951,0.678224239315056,0.857401307021267,0.623258768673638,1.1795052684878,0.344440360910404,0.678525710970654
centr_pathway_ABCC9.xlsx,0.0321439771216961,0.219055072294629,0.648272175501699,0.434591392542336,0.967015961984948,0.0336410863683806,0.228165826104477,0.803779975257693,0.944740831697856,0.960222603233584,0.699059545650431,1.31895409124668,0.802105214151286,0.944471303548251
centr_pathway_ABCD1.xlsx,0.00633342383992046,0.163458334683718,0.572918160058124,0.382112497829762,0.859001524390392,0.00702977879109784,0.180767941587424,0.00292488394631677,0.124141381130604,0.617564799619635,0.44832760563146,0.850686589312441,0.00318159488786075,0.135595655509672
centr_pathway_ABCD2.xlsx,0.00633342383992046,0.163458334683718,0.572918160058124,0.382112497829762,0.859001524390392,0.00702977879109784,0.180767941587424,0.00292488394631677,0.124141381130604,0.617564799619635,0.44832760563146,0.850686589312441,0.00318159488786075,0.135595655509672
centr_pathway_ABCG2.xlsx,0.0571597513365956,0.279734893317152,0.679299891128579,0.454939148785257,1.01430783285945,0.0586898109631637,0.28673297571117,0.167400037033933,0.535111708906245,0.799605035580178,0.581788131304262,1.09897087706453,0.168104974411728,0.537326386734928
centr_pathway_ABHD12.xlsx,0.513088135749393,0.743649277075662,0.876002186105864,0.589241174253019,1.30231875095127,0.512883471148771,0.744074486207287,0.392858569834892,0.721576965002863,0.870707455667379,0.633956603611787,1.19587282321143,0.392477592611543,0.721760913461152
centr_pathway_ABHD5.xlsx,0.219322000150257,0.515035360150889,1.28350879134784,0.860770961623511,1.91385965711485,0.220778172669987,0.517132982180916,0.253050090318125,0.617538116522834,1.20439401246357,0.875652204416358,1.65655374353215,0.25282841865424,0.618744919581903
centr_pathway_ABHD6.xlsx,0.513088135749393,0.743649277075662,0.876002186105864,0.589241174253019,1.30231875095127,0.512883471148771,0.744074486207287,0.392858569834892,0.721576965002863,0.870707455667379,0.633956603611787,1.19587282321143,0.392477592611543,0.721760913461152
centr_pathway_ABI1.xlsx,0.649232951112064,0.827182354563725,1.09639004735627,0.737041797468878,1.63094025341574,0.649714490736891,0.827788463049995,0.0726432034181536,0.379737389456688,1.33889299022501,0.972578440940745,1.84317723261448,0.0735380991697462,0.384415395939821
centr_pathway_ABI2.xlsx,0.543187818195792,0.764803031778723,1.13224074930505,0.75956497017218,1.68776755739045,0.542014583409749,0.764668782301746,0.564100625665772,0.833761708295077,1.09846362049199,0.799160695266477,1.50986194978224,0.562839726864057,0.832606746074846
centr_pathway_ABL1.xlsx,0.714401414422207,0.860842325135801,1.07676658277102,0.724176012768948,1.60102827672958,0.714782758478509,0.861528363872551,0.544649674144546,0.821428036717092,1.10343383743387,0.802143501648574,1.51789079022854,0.54521643833948,0.822360759907849
centr_pathway_ABL2.xlsx,0.044005915529971,0.248677537305402,1.50837179932377,1.00853852557237,2.25592322683361,0.0453533182572643,0.256853136756455,0.00461485427698187,0.128809537558331,1.5890111867768,1.15038220140326,2.19488492487263,0.00495400770364699,0.138653932276343
centr_pathway_ABLIM1.xlsx,0.392396412882731,0.639720908824531,1.18968740476909,0.798329067338013,1.77289814309988,0.393458768836441,0.641172993719069,0.694068404723554,0.898871529695726,1.06615344226063,0.775242053229424,1.46623000869097,0.693565169129976,0.898871414953535
centr_pathway_ABLIM2.xlsx,0.392396412882731,0.639720908824531,1.18968740476909,0.798329067338013,1.77289814309988,0.393458768836441,0.641172993719069,0.694068404723554,0.898871529695726,1.06615344226063,0.775242053229424,1.46623000869097,0.693565169129976,0.898871414953535
