pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.869360401476767,0.957060360450969,0.939395843897512,0.450372323794578,1.95941114697453,0.867625248376853,0.956860567228446,0.787394745683867,0.886486624002786,0.919986896361403,0.501720560830623,1.68694678981358,0.787480636550511,0.886596633631693
centr_pathway_A4GALT.xlsx,0.037713214858005,0.526156131306683,2.20998219169712,1.02733806713378,4.75405462317246,0.0424609782411115,0.561683441747972,0.0251236920465564,0.308563207076591,2.03042040357152,1.08011435559496,3.81682457406902,0.0278582580870142,0.340072467234908
centr_pathway_AAAS.xlsx,0.537250569184786,0.850808088151443,1.26729540470766,0.594055206515862,2.70351580994058,0.540019815196357,0.854107139427649,0.0406826056272453,0.320725043455765,1.92752022889197,1.01635249113169,3.65555677307465,0.0444696826546097,0.349734581982663
centr_pathway_AACS.xlsx,0.0982872706173861,0.54791485933722,1.92981706815481,0.871585247324772,4.27289691739575,0.105003977878708,0.584344945915686,0.334388499810427,0.615447601131708,1.35694316770723,0.727158992210448,2.53217629172142,0.337573582336458,0.620135496653514
centr_pathway_AADAT.xlsx,0.935744399344094,0.98148469584331,0.969518466060788,0.46625024196201,2.01601194259423,0.933949536179059,0.980824270386274,0.656059020271051,0.813712881500572,1.14731304358379,0.624621677505016,2.10739919439784,0.657783007595482,0.814647130680885
centr_pathway_AANAT.xlsx,0.0547637051144469,0.526156131306683,0.475559397396892,0.219083885448471,1.03228377563939,0.060160862954773,0.561683441747972,0.0106920223178113,0.294721057985426,0.440512346664251,0.230673762492358,0.84123623539575,0.0130013262569758,0.340072467234908
centr_pathway_AARS.xlsx,0.154200869203825,0.611234318104897,1.71388013175572,0.810721605627551,3.62317358466507,0.158367205679124,0.631680237926347,0.0522825652375423,0.330848034682033,1.84336830824823,0.985510566753025,3.44796579000609,0.0555843204928056,0.354287639558029
centr_pathway_AARS1.xlsx,0.00272484204245905,0.526156131306683,3.19303531397416,1.4359193635765,7.10031132311761,0.00440924777536437,0.561683441747972,0.000121213542274089,0.239824203740525,3.46678354152549,1.76656603666713,6.80336193175475,0.000301234489574159,0.323306871965043
centr_pathway_AARS2.xlsx,0.154200869203825,0.611234318104897,1.71388013175572,0.810721605627551,3.62317358466507,0.158367205679124,0.631680237926347,0.0522825652375423,0.330848034682033,1.84336830824823,0.985510566753025,3.44796579000609,0.0555843204928056,0.354287639558029
centr_pathway_AASDHPPT.xlsx,0.994256882394076,0.998607756342589,1.00175231243944,0.473889846296504,2.11759695490476,0.996342300171092,0.998161965327483,0.525290599897991,0.73170843126079,1.22142395443257,0.656479018530847,2.27254250988921,0.527776932733577,0.734306889089183
