pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
centr_pathway_A2M.xlsx,0.972534603288802,0.995665236620057,0.994157351188223,0.719551887370454,1.37356159613927,0.971658866509332,0.995766301669767,0.470267970143869,0.747089537578833,1.11492626704373,0.829746042790816,1.49812173464918,0.470450442577938,0.747519940597303
centr_pathway_A4GALT.xlsx,0.34418388195611,0.87899268314945,1.1686588047083,0.845488630242709,1.61535395387891,0.345322203509921,0.880372575323136,0.367999084497305,0.672144842460145,1.14489841051555,0.852604108619693,1.53739860874365,0.368271865341297,0.672345750807864
centr_pathway_AAAS.xlsx,0.431847776900135,0.892840409655632,0.878470769975032,0.635858712885783,1.21365152047409,0.432016847949451,0.893067166646251,0.425198156771676,0.714417810222743,0.887178619158577,0.660963418490952,1.19081613334838,0.425391867476751,0.714304655226973
centr_pathway_AACS.xlsx,0.490864417539322,0.914675548879566,1.12018765167804,0.810854109403214,1.54752915527,0.49123433529238,0.915227828160044,0.462078954617803,0.74106440900657,1.11664190296596,0.831784529051025,1.49905305510071,0.462812006104773,0.741783618948186
centr_pathway_AADAT.xlsx,0.12235768718333,0.728877131785867,1.29154257602427,0.932608532241564,1.78861994933082,0.123562566998724,0.735306114234457,0.226381162201013,0.554812100276105,1.19939092430632,0.893002219164388,1.61090147195206,0.227030711425234,0.556404007331529
centr_pathway_AANAT.xlsx,0.561397594646179,0.948692619262168,1.10071158686229,0.796453204165011,1.52120173679643,0.561046588847817,0.949533145690052,0.0892929636086275,0.384480681233609,1.29252079054419,0.960702902857834,1.73894550440034,0.0900526564265413,0.387853838471197
centr_pathway_AARS.xlsx,0.41877593039516,0.892840409655632,0.875402598001599,0.633866092371369,1.20897728686041,0.419170080080941,0.893067166646251,0.303217396476743,0.62723516610688,0.856895839708576,0.638336058134828,1.15028827018695,0.303952116218545,0.628229681071916
centr_pathway_AARS1.xlsx,0.31840682851174,0.862051841793015,0.848541417845874,0.614261617568516,1.17217569388433,0.319112093156073,0.863058412699445,0.0530583374292156,0.320587359769041,0.748014147772019,0.556797417074589,1.00489899577272,0.0539149783398445,0.325400728666402
centr_pathway_AARS2.xlsx,0.41877593039516,0.892840409655632,0.875402598001599,0.633866092371369,1.20897728686041,0.419170080080941,0.893067166646251,0.303217396476743,0.62723516610688,0.856895839708576,0.638336058134828,1.15028827018695,0.303952116218545,0.628229681071916
centr_pathway_AASDHPPT.xlsx,0.719821875743272,0.972395225792011,0.942602921920373,0.682220151848301,1.30236590931191,0.720077116023484,0.972304638076308,0.350897688178227,0.668055543852512,0.869206834830069,0.64746065077346,1.16689797412825,0.350914158512986,0.668024659554537
centr_pathway_AASS.xlsx,0.280893358790555,0.841328544573154,1.19477522583256,0.864423498422782,1.65137556171001,0.281177006371774,0.842446123554794,0.299411662567992,0.624460011249008,1.16888305006009,0.870401580094999,1.56972093797056,0.299591948472074,0.625596180282592
centr_pathway_AATF.xlsx,0.102805276153266,0.710983722675729,1.3104696992377,0.946094267111283,1.81517940898605,0.103820817846213,0.718022754817072,0.209398171611576,0.539581756260901,1.20844357141709,0.899145460716625,1.62413750511,0.209413093364813,0.540883239251977
centr_pathway_AATK.xlsx,0.0297506301157108,0.601808682072018,1.4352112519108,1.03433587772391,1.99145304922041,0.030620502583906,0.61989195484557,0.0293262004937831,0.25833339350066,1.3894805238605,1.03241330695168,1.87004188457057,0.0299727218536609,0.264466788630802
centr_pathway_ABAT.xlsx,0.97259059686839,0.995665236620057,0.994375457170022,0.720034854757726,1.37324261914347,0.972681257904686,0.995782258536068,0.353194560779243,0.670353099513065,1.14960541811114,0.856184575195457,1.5435837734507,0.353785733539344,0.670915681021493
centr_pathway_ABCA1.xlsx,0.114311162139918,0.721676242724129,1.29676308943747,0.938430559985179,1.7919221536796,0.115288237538292,0.726984887431931,0.0171800492974401,0.201903719035846,1.42993950533208,1.06387435518853,1.92196285109908,0.0177715076538639,0.20843389842293
centr_pathway_ABCB1.xlsx,0.750298304214873,0.972395225792011,1.05393989152683,0.763171148438579,1.45549172977021,0.749746112996645,0.972304638076308,0.375825631570132,0.678775983517623,1.14209353893078,0.850830443650965,1.53306415091387,0.376416972531732,0.67929467796664
centr_pathway_ABCB7.xlsx,0.267038067693584,0.829083277502524,0.833028830903129,0.603204981651252,1.15041661495601,0.267346805645938,0.830706303314024,0.308288772839547,0.633191403110094,0.858180517266327,0.639378220551156,1.15185937922729,0.308448000098907,0.633692673470528
centr_pathway_ABCC1.xlsx,0.782039809425868,0.972395225792011,1.04683531761244,0.757889222503167,1.4459424275507,0.78120341355624,0.972304638076308,0.61195772113568,0.84062599795578,1.07929872434625,0.804016222910583,1.4488336219865,0.611480618806251,0.839994422040639
centr_pathway_ABCC10.xlsx,0.403059081165879,0.892840409655632,0.871542545443393,0.630959773701954,1.20385869302146,0.404148777376168,0.893067166646251,0.982039056638825,0.989990789890961,1.00339244364572,0.74756252247662,1.34677216379159,0.982007039470529,0.990092129146289
centr_pathway_ABCC2.xlsx,0.750298304214873,0.972395225792011,1.05393989152683,0.763171148438579,1.45549172977021,0.749746112996645,0.972304638076308,0.375825631570132,0.678775983517623,1.14209353893078,0.850830443650965,1.53306415091387,0.376416972531732,0.67929467796664
centr_pathway_ABCC3.xlsx,0.160579344928641,0.767154929375511,1.25984801182831,0.911792477803795,1.74076563642072,0.161451567587929,0.771612716241374,0.00724679170237401,0.166966658485591,1.49718919811534,1.11290247406658,2.01417064584508,0.00765773307613427,0.176274934559215
centr_pathway_ABCC4.xlsx,0.604847108795441,0.954421764454327,0.918397794021418,0.664927596873116,1.26849075302308,0.605426735452243,0.954541454210302,0.609261797421243,0.837780012122573,1.07967346228333,0.804528749940558,1.4489162571816,0.609508546881683,0.837881178649694
