gene_symbol,ensembl_gene_id,in_ARR
A1BG,ENSG00000121410,0
A1BG-AS1,ENSG00000268895,0
A1CF,ENSG00000148584,0
A2M,ENSG00000175899,1
A2M-AS1,ENSG00000245105,0
A2ML1,ENSG00000166535,0
A2ML1-AS1,ENSG00000256661,0
A2ML1-AS2,ENSG00000256904,0
A2MP1,ENSG00000256069,0
A3GALT2,ENSG00000184389,0
A4GALT,ENSG00000128274,1
A4GNT,ENSG00000118017,0
AAAS,ENSG00000094914,1
AACS,ENSG00000081760,1
AACSP1,ENSG00000250420,0
AADAC,ENSG00000114771,0
AADACL2,ENSG00000197953,0
AADACL2-AS1,ENSG00000242908,0
AADACL3,ENSG00000188984,0
AADACL4,ENSG00000204518,0
AADACP1,ENSG00000240602,0
AADAT,ENSG00000109576,1
AAED1,ENSG00000158122,0
AAGAB,ENSG00000103591,0
AAK1,ENSG00000115977,0
AAMDC,ENSG00000087884,0
AAMP,ENSG00000127837,0
AANAT,ENSG00000129673,1
AAR2,ENSG00000131043,0
AARD,ENSG00000205002,0
AARS,ENSG00000090861,1
AARS2,ENSG00000124608,1
AARSD1,ENSG00000266967,0
AARSP1,ENSG00000249038,0
AASDH,ENSG00000157426,0
AASDHPPT,ENSG00000149313,1
AASS,ENSG00000008311,1
AATBC,ENSG00000215458,0
AATF,ENSG00000275700,1
AATK,ENSG00000181409,1
ABALON,ENSG00000281376,0
ABAT,ENSG00000183044,1
ABCA1,ENSG00000165029,1
ABCA10,ENSG00000154263,0
ABCA11P,ENSG00000251595,0
ABCA12,ENSG00000144452,0
ABCA13,ENSG00000179869,0
ABCA17P,ENSG00000238098,0
ABCA2,ENSG00000107331,0
ABCA3,ENSG00000167972,0
ABCA4,ENSG00000198691,0
ABCA5,ENSG00000154265,0
ABCA6,ENSG00000154262,0
ABCA7,ENSG00000064687,0
ABCA8,ENSG00000141338,0
ABCA9,ENSG00000154258,0
ABCA9-AS1,ENSG00000231749,0
ABCB1,ENSG00000085563,1
ABCB10,ENSG00000135776,0
ABCB10P1,ENSG00000274099,0
ABCB10P3,ENSG00000261524,0
ABCB10P4,ENSG00000260053,0
ABCB11,ENSG00000073734,0
ABCB4,ENSG00000005471,0
ABCB5,ENSG00000004846,0
ABCB6,ENSG00000115657,0
ABCB7,ENSG00000131269,1
ABCB8,ENSG00000197150,0
ABCB9,ENSG00000150967,0
ABCC1,ENSG00000103222,1
ABCC10,ENSG00000124574,1
ABCC11,ENSG00000121270,0
ABCC12,ENSG00000140798,0
ABCC13,ENSG00000243064,0
ABCC2,ENSG00000023839,1
ABCC3,ENSG00000108846,1
ABCC4,ENSG00000125257,1
ABCC5,ENSG00000114770,1
ABCC5-AS1,ENSG00000223882,0
ABCC6,ENSG00000091262,0
ABCC6P1,ENSG00000256340,0
ABCC6P2,ENSG00000255277,0
ABCC8,ENSG00000006071,1
ABCC9,ENSG00000069431,1
ABCD1,ENSG00000101986,1
ABCD1P2,ENSG00000215151,0
ABCD1P3,ENSG00000261233,0
ABCD1P4,ENSG00000225293,0
ABCD1P5,ENSG00000214330,0
ABCD2,ENSG00000173208,1
ABCD3,ENSG00000117528,0
ABCD4,ENSG00000119688,0
ABCE1,ENSG00000164163,0
ABCF1,ENSG00000204574,0
ABCF2,ENSG00000033050,0
ABCF2P1,ENSG00000242159,0
ABCF2P2,ENSG00000228769,0
ABCF3,ENSG00000161204,0
ABCG1,ENSG00000160179,0
ABCG2,ENSG00000118777,1
ABCG4,ENSG00000172350,0
ABCG5,ENSG00000138075,0
ABCG8,ENSG00000143921,0
ABHD1,ENSG00000143994,0
ABHD10,ENSG00000144827,0
ABHD11,ENSG00000106077,0
ABHD11-AS1,ENSG00000225969,0
ABHD12,ENSG00000100997,1
ABHD12B,ENSG00000131969,0
ABHD13,ENSG00000139826,0
ABHD14A,ENSG00000248487,0
ABHD14A-ACY1,ENSG00000114786,0
ABHD14B,ENSG00000114779,0
ABHD15,ENSG00000168792,0
ABHD15-AS1,ENSG00000264031,0
ABHD16A,ENSG00000204427,0
ABHD16B,ENSG00000183260,0
